rms,tepe,crest,kurtosis,carpiklik,bant_0_500,bant_500_2k,bant_2k_3k,bant_3k_4k,bant_4k_6k,rpm,sinif
0.41227,1.42293,3.45147,3.0074,-0.07121,0.1121,0.24526,0.16058,0.15919,0.32254,1758.14882,saglam
0.40997,1.3008,3.1729,2.78009,-0.08819,0.10371,0.24895,0.15963,0.16767,0.31977,1766.29594,saglam
0.62135,1.7924,2.88469,2.59233,0.07255,0.10537,0.24134,0.16288,0.16226,0.32611,1746.51484,saglam
0.5464,1.80095,3.29601,2.86469,-0.03595,0.11588,0.24764,0.14541,0.16581,0.32404,1794.68546,saglam
0.41683,1.72434,4.13676,2.98977,-0.01476,0.11184,0.241,0.15792,0.1622,0.32665,1747.34886,saglam
0.64943,2.54625,3.92077,2.80618,0.14058,0.11763,0.24045,0.15684,0.16057,0.32274,1700.29987,saglam
0.46824,1.42816,3.05006,2.88488,0.07529,0.11276,0.23493,0.16266,0.17112,0.31823,1774.79946,saglam
0.50713,1.70064,3.35345,2.75053,0.1024,0.10979,0.2446,0.15633,0.15796,0.33079,1761.1881,saglam
0.52037,1.78271,3.42587,2.81935,-0.16331,0.11633,0.24021,0.16582,0.15726,0.31908,1790.0029,saglam
0.77155,2.96992,3.8493,3.41365,0.1626,0.10402,0.20186,0.17428,0.21936,0.29863,1790.39281,ic_bilezik
0.76735,4.09714,5.33933,4.23295,0.37649,0.09866,0.20892,0.16748,0.2396,0.2842,1743.54309,ic_bilezik
0.42334,1.557,3.67792,2.98595,0.02005,0.10483,0.22944,0.15742,0.18421,0.32379,1775.96462,ic_bilezik
0.64651,2.33866,3.61738,2.97771,0.05889,0.10458,0.22451,0.16292,0.18828,0.31885,1793.91225,ic_bilezik
0.49701,2.45679,4.94314,3.93802,0.34868,0.0987,0.20894,0.16143,0.237,0.29145,1782.56884,ic_bilezik
0.59148,2.7432,4.63785,4.33472,-0.11727,0.08969,0.20592,0.17326,0.25094,0.27828,1785.24313,ic_bilezik
0.52575,2.34801,4.46605,3.76771,-0.01532,0.09962,0.22006,0.18002,0.21789,0.28123,1744.61018,ic_bilezik
0.61452,2.72896,4.44078,3.64474,0.01821,0.10338,0.21301,0.16698,0.21574,0.29954,1717.89797,ic_bilezik
0.82392,3.50178,4.25013,3.92021,0.31985,0.08793,0.19699,0.17492,0.25412,0.28558,1759.07289,ic_bilezik
0.50275,1.78552,3.55148,3.03869,0.08379,0.10296,0.22937,0.16458,0.18591,0.31614,1739.58726,ic_bilezik
0.553,2.20886,3.9943,2.96686,0.08674,0.11076,0.23335,0.16809,0.17446,0.31323,1750.85979,ic_bilezik
0.70482,2.98791,4.23927,4.23303,-0.02213,0.09083,0.2016,0.17723,0.23328,0.2958,1753.06085,ic_bilezik
0.76301,3.47372,4.55264,4.02383,0.13577,0.08993,0.2067,0.1803,0.23891,0.28183,1792.30606,ic_bilezik
0.44328,1.65806,3.74045,3.16022,0.00948,0.1032,0.22906,0.16719,0.18607,0.31355,1745.98241,ic_bilezik
0.61257,2.29096,3.7399,3.12826,0.11691,0.09999,0.21798,0.15964,0.20273,0.31899,1752.70208,ic_bilezik
0.64966,2.96309,4.56097,4.25447,0.02388,0.09077,0.20719,0.17534,0.24,0.28581,1757.30461,ic_bilezik
0.67161,2.47839,3.69023,3.6928,-0.05585,0.0961,0.21858,0.1633,0.22695,0.29399,1757.61198,ic_bilezik
0.71606,3.31969,4.63605,3.80934,0.32687,0.0925,0.21729,0.17376,0.21964,0.29644,1754.05062,ic_bilezik
0.51525,1.9502,3.78498,3.42791,0.13178,0.0997,0.21003,0.16711,0.2135,0.30963,1751.8033,ic_bilezik
0.44779,1.45047,3.2392,2.82979,-0.05044,0.10675,0.22864,0.16459,0.18095,0.31901,1765.11202,ic_bilezik
0.58541,2.25775,3.85669,3.30345,0.23686,0.10282,0.21322,0.1572,0.23512,0.29022,1732.61115,ic_bilezik
0.47766,1.75529,3.67476,3.05839,0.02785,0.09634,0.2376,0.16469,0.18504,0.31547,1748.02594,ic_bilezik
0.57565,2.64159,4.58885,3.38747,-0.0485,0.09657,0.21015,0.175,0.21554,0.30027,1777.04338,ic_bilezik
0.65707,2.30103,3.50195,2.81624,-0.0362,0.10788,0.24233,0.15924,0.18039,0.31003,1742.31201,ic_bilezik
0.74204,3.1736,4.27688,3.72565,0.15738,0.09724,0.2126,0.18951,0.22087,0.27853,1740.94324,ic_bilezik
0.7817,3.45539,4.42035,3.96326,0.15917,0.08963,0.21946,0.17856,0.22591,0.28579,1755.43827,ic_bilezik
0.54364,1.83001,3.36623,2.96613,-0.01036,0.1083,0.22459,0.16022,0.181,0.325,1779.0515,ic_bilezik
0.541,2.07956,3.84391,2.97221,-0.12951,0.10154,0.23807,0.16569,0.1904,0.30247,1742.04869,ic_bilezik
0.68795,2.68309,3.90012,3.28329,0.03173,0.10049,0.23384,0.16155,0.20014,0.30383,1725.72179,ic_bilezik
0.55977,2.76771,4.94435,4.31462,0.44158,0.08831,0.19473,0.17705,0.25836,0.28127,1722.96068,ic_bilezik
0.47218,1.66711,3.5307,2.93026,0.1618,0.09621,0.22534,0.16524,0.19988,0.31014,1791.43101,ic_bilezik
0.80587,3.50871,4.35394,3.68434,0.18315,0.08988,0.21379,0.17647,0.22692,0.29089,1786.35766,ic_bilezik
0.78939,3.7312,4.7267,4.01197,0.25989,0.10221,0.21183,0.16912,0.23655,0.2775,1799.64133,ic_bilezik
0.78549,3.22181,4.10164,3.95461,0.12708,0.09391,0.21028,0.17496,0.22894,0.29099,1723.90082,ic_bilezik
0.74903,2.68216,3.58084,3.17721,0.07058,0.10017,0.22602,0.15635,0.19308,0.32226,1783.75266,ic_bilezik
0.70627,2.47121,3.49895,3.06948,0.08399,0.10458,0.22312,0.16655,0.19664,0.30849,1782.86108,ic_bilezik
0.61198,2.89088,4.72384,3.88966,0.1968,0.10522,0.22793,0.16983,0.20261,0.29321,1722.19827,ic_bilezik
0.51879,2.14005,4.12506,3.10031,-0.00753,0.11113,0.23568,0.16195,0.1798,0.31048,1718.74427,ic_bilezik
0.80761,4.0736,5.04401,4.65013,0.30235,0.09583,0.18801,0.17213,0.24973,0.29237,1796.36311,ic_bilezik
0.49465,1.60634,3.24744,3.12783,-0.14203,0.09975,0.22103,0.16617,0.22272,0.28772,1789.18878,ic_bilezik
0.68338,3.30514,4.83646,3.75662,0.12322,0.08935,0.21058,0.17214,0.24297,0.28487,1737.06595,ic_bilezik
0.63806,2.93535,4.60042,2.95973,-0.16388,0.10516,0.22831,0.16982,0.18699,0.3096,1756.11858,ic_bilezik
0.58381,2.87557,4.92549,3.61579,-0.04305,0.10709,0.21207,0.16081,0.22243,0.2967,1716.86204,ic_bilezik
0.70381,3.24452,4.60993,3.39071,0.18444,0.10794,0.21413,0.17005,0.20935,0.29786,1733.92179,ic_bilezik
0.56284,2.37381,4.21759,3.05321,0.25537,0.12061,0.23982,0.16362,0.17001,0.30588,1730.33019,ic_bilezik
0.58676,2.40356,4.09636,3.61335,0.06631,0.10094,0.19655,0.15632,0.24521,0.29885,1702.04423,ic_bilezik
0.4204,1.54105,3.66565,3.09359,0.08191,0.10706,0.2267,0.16821,0.17366,0.32406,1780.09925,ic_bilezik
0.79326,3.14478,3.96437,3.673,0.0139,0.09582,0.21243,0.17057,0.22888,0.29176,1716.02917,ic_bilezik
0.66323,2.63333,3.97049,3.86729,0.02288,0.09436,0.20113,0.17062,0.24525,0.28678,1748.55747,ic_bilezik
0.6895,2.48473,3.60369,3.10662,0.02348,0.10274,0.22379,0.16029,0.20599,0.30603,1729.22528,ic_bilezik
0.48183,2.01996,4.19229,3.72055,0.11181,0.09954,0.21408,0.16704,0.23773,0.2796,1787.75548,ic_bilezik
0.67769,2.49353,3.67947,3.00945,-0.0619,0.10577,0.23012,0.1663,0.18064,0.31603,1757.93795,ic_bilezik
0.47517,2.05113,4.31661,3.17834,0.19512,0.10511,0.22577,0.1655,0.1965,0.30645,1746.34024,ic_bilezik
0.62952,2.39868,3.8103,3.27894,0.03411,0.0963,0.22345,0.16989,0.21153,0.29768,1758.20266,ic_bilezik
0.47313,1.96486,4.15287,3.49726,0.28123,0.09901,0.21379,0.16644,0.22324,0.29646,1782.11103,ic_bilezik
0.53805,1.81386,3.37117,2.92731,0.05011,0.10645,0.21937,0.16773,0.19596,0.30927,1771.84163,ic_bilezik
0.632,2.87721,4.55254,3.05794,0.08827,0.10416,0.22524,0.16197,0.19656,0.31145,1749.96923,ic_bilezik
0.41317,1.56724,3.79319,3.03973,0.00084,0.10722,0.23395,0.15668,0.18524,0.31561,1746.45636,ic_bilezik
0.64314,2.34595,3.64763,3.06561,0.07438,0.11988,0.21816,0.17046,0.1966,0.29416,1716.48091,ic_bilezik
0.70747,2.81807,3.9833,3.23278,0.01341,0.10351,0.21669,0.18183,0.19896,0.29886,1724.97472,ic_bilezik
0.54508,2.74749,5.04057,4.21558,0.0707,0.08561,0.20428,0.1773,0.24287,0.2885,1766.30051,ic_bilezik
0.40104,1.55218,3.87036,2.83431,-0.17539,0.11633,0.22503,0.1588,0.18807,0.31139,1795.34584,ic_bilezik
0.4372,1.85572,4.24453,3.33054,0.19227,0.09986,0.20851,0.17023,0.21124,0.308,1740.37875,ic_bilezik
0.58249,2.25461,3.87063,2.99477,0.00389,0.11521,0.23268,0.16144,0.19359,0.29512,1737.59554,ic_bilezik
0.78672,3.72122,4.73001,3.62465,0.30645,0.094,0.22832,0.18171,0.21424,0.28021,1748.70887,ic_bilezik
0.62785,2.45834,3.91552,3.69522,0.07755,0.08939,0.20372,0.16957,0.25424,0.2818,1767.64979,ic_bilezik
0.79846,4.41953,5.53505,4.76297,0.33784,0.094,0.20529,0.17575,0.24858,0.27385,1788.45024,ic_bilezik
0.7859,3.43715,4.37351,3.52685,0.20605,0.10318,0.2067,0.17512,0.22934,0.285,1710.496,ic_bilezik
0.45029,1.45459,3.23036,2.7035,0.0395,0.10816,0.22296,0.1705,0.17737,0.31994,1765.77215,ic_bilezik
0.45894,1.79897,3.91985,3.43767,0.11384,0.09586,0.21703,0.16331,0.21778,0.30423,1725.99456,ic_bilezik
0.6877,3.11435,4.52862,3.24887,-0.10199,0.09988,0.23027,0.16816,0.197,0.30458,1719.53449,ic_bilezik
0.54845,2.34766,4.28053,3.74795,-0.0825,0.10009,0.19929,0.17449,0.24058,0.28494,1710.49233,ic_bilezik
0.70993,3.75672,5.29169,4.65536,0.44749,0.09507,0.20367,0.16371,0.23671,0.30042,1755.24164,ic_bilezik
0.58049,1.87375,3.22786,2.91239,0.04744,0.10444,0.22488,0.17165,0.18995,0.30865,1753.52794,ic_bilezik
0.73045,3.95114,5.40917,4.73788,0.45296,0.08659,0.19637,0.17182,0.24922,0.29379,1794.01348,ic_bilezik
0.67575,2.39341,3.54186,3.06715,-0.02408,0.10857,0.22124,0.17413,0.19353,0.3016,1708.74851,ic_bilezik
0.63398,2.78177,4.38778,3.20918,0.22482,0.09565,0.23123,0.16525,0.19847,0.30937,1773.32961,ic_bilezik
0.72655,2.94633,4.05521,3.14642,-0.04073,0.10983,0.21137,0.17312,0.19939,0.30431,1783.47426,ic_bilezik
0.71069,3.82849,5.38699,4.05502,0.27888,0.10112,0.21815,0.16092,0.23628,0.28221,1738.8299,ic_bilezik
0.59664,2.04095,3.42077,2.78586,0.15574,0.11755,0.2292,0.16149,0.17765,0.31374,1708.48284,ic_bilezik
0.79857,3.10525,3.88854,3.39024,-0.04067,0.0941,0.21466,0.17102,0.2128,0.30563,1737.61602,ic_bilezik
0.59881,2.18738,3.65288,3.02867,0.11912,0.10325,0.20888,0.16161,0.20898,0.31637,1730.79191,ic_bilezik
0.5246,1.86802,3.56083,3.16717,0.12274,0.10189,0.22427,0.16606,0.2178,0.28972,1723.49008,ic_bilezik
0.7722,3.4891,4.5184,4.15488,0.2469,0.09629,0.20821,0.16475,0.24265,0.28725,1774.61862,ic_bilezik
0.77282,3.47086,4.49114,3.62917,0.27779,0.09723,0.20509,0.17284,0.23294,0.29176,1780.11951,ic_bilezik
0.6338,2.38999,3.7709,3.08066,0.05608,0.10864,0.24442,0.16673,0.17485,0.30475,1731.04152,ic_bilezik
0.67256,3.48197,5.1772,3.66738,-0.01169,0.10499,0.20841,0.17158,0.21356,0.30002,1703.6399,ic_bilezik
0.75213,3.52783,4.69042,3.46347,0.05154,0.09443,0.21893,0.17693,0.21033,0.29691,1780.00541,ic_bilezik
0.52086,2.24564,4.31144,3.23929,0.16172,0.10401,0.23027,0.15865,0.20407,0.30196,1705.18931,ic_bilezik
0.50397,2.11794,4.2025,3.88146,0.17273,0.08693,0.19575,0.17185,0.25719,0.28682,1731.34332,ic_bilezik
0.80454,3.3497,4.16352,4.01228,0.04891,0.09387,0.20573,0.16768,0.24727,0.28469,1728.30585,ic_bilezik
0.38246,1.29066,3.37464,2.94475,0.1083,0.11226,0.23528,0.1591,0.17614,0.31596,1729.6171,ic_bilezik
0.55783,2.17486,3.89877,2.89023,-0.02753,0.10718,0.23482,0.16498,0.17028,0.32188,1776.35492,ic_bilezik
0.87307,3.74374,4.288,4.21496,0.08961,0.0964,0.20545,0.16091,0.25681,0.27975,1784.18837,ic_bilezik
0.46311,1.79415,3.87416,3.04734,-0.10295,0.09876,0.23266,0.1735,0.19009,0.30466,1720.46485,ic_bilezik
0.66539,2.04096,3.06733,2.86756,-0.02854,0.10603,0.22362,0.15358,0.1919,0.32452,1772.44346,ic_bilezik
0.54166,2.39434,4.42039,3.24195,-0.05761,0.09977,0.22907,0.15845,0.22385,0.28764,1785.88734,ic_bilezik
0.79487,3.14086,3.95142,3.5959,0.07309,0.08974,0.2096,0.17335,0.24595,0.28129,1787.36595,ic_bilezik
0.6926,2.64204,3.81465,3.1398,0.03678,0.09475,0.22134,0.18021,0.20307,0.30026,1756.50573,ic_bilezik
0.564,1.96453,3.48323,2.97371,0.02456,0.10698,0.22566,0.17052,0.19129,0.30479,1797.40522,ic_bilezik
0.88973,3.91886,4.40453,4.14788,0.13372,0.09202,0.20648,0.17614,0.25025,0.2748,1708.86076,ic_bilezik
0.61153,2.46534,4.03145,3.19112,0.09102,0.10163,0.22102,0.1658,0.19189,0.31766,1774.42703,ic_bilezik
0.54597,2.18522,4.00249,3.11539,0.13416,0.10632,0.22111,0.16318,0.20277,0.30608,1759.81292,ic_bilezik
