tarih,saat,haftanin_gunu,tatil,sicaklik_C,yuk_MW
2025-01-10 00:00,0,4,0,-3.3,519.9
2025-01-10 01:00,1,4,0,-3.8,545.1
2025-01-10 02:00,2,4,0,-3.5,600.0
2025-01-10 03:00,3,4,0,-4.5,661.7
2025-01-10 04:00,4,4,0,-3.7,715.9
2025-01-10 05:00,5,4,0,-3.4,758.8
2025-01-10 06:00,6,4,0,-2.5,787.5
2025-01-10 07:00,7,4,0,-0.7,795.2
2025-01-10 08:00,8,4,0,0.9,798.5
2025-01-10 09:00,9,4,0,3.1,786.1
2025-01-10 10:00,10,4,0,2.7,808.3
2025-01-10 11:00,11,4,0,3.1,836.4
2025-01-10 12:00,12,4,0,4.5,864.3
2025-01-10 13:00,13,4,0,4.5,924.4
2025-01-10 14:00,14,4,0,4.8,973.5
2025-01-10 15:00,15,4,0,5.9,987.8
2025-01-10 16:00,16,4,0,6.3,995.3
2025-01-10 17:00,17,4,0,5.3,1003.7
2025-01-10 18:00,18,4,0,4.9,954.0
2025-01-10 19:00,19,4,0,4.4,856.8
2025-01-10 20:00,20,4,0,3.5,762.9
2025-01-10 21:00,21,4,0,2.3,663.8
2025-01-10 22:00,22,4,0,1.3,592.2
2025-01-10 23:00,23,4,0,-0.6,538.8
2025-01-11 00:00,0,5,0,-1.4,497.4
2025-01-11 01:00,1,5,0,-2.6,526.5
2025-01-11 02:00,2,5,0,-2.7,566.0
2025-01-11 03:00,3,5,0,-2.6,610.8
2025-01-11 04:00,4,5,0,-3.0,661.6
2025-01-11 05:00,5,5,0,-2.2,688.7
2025-01-11 06:00,6,5,0,-1.4,732.2
2025-01-11 07:00,7,5,0,-0.6,738.3
2025-01-11 08:00,8,5,0,0.8,758.3
2025-01-11 09:00,9,5,0,1.6,764.6
2025-01-11 10:00,10,5,0,2.5,780.1
2025-01-11 11:00,11,5,0,3.5,788.7
2025-01-11 12:00,12,5,0,4.3,832.8
2025-01-11 13:00,13,5,0,5.6,858.7
2025-01-11 14:00,14,5,0,4.5,891.3
2025-01-11 15:00,15,5,0,4.5,926.6
2025-01-11 16:00,16,5,0,3.1,937.4
2025-01-11 17:00,17,5,0,2.5,898.6
2025-01-11 18:00,18,5,0,2.1,845.9
2025-01-11 19:00,19,5,0,1.3,770.1
2025-01-11 20:00,20,5,0,0.9,706.2
2025-01-11 21:00,21,5,0,0.1,604.8
2025-01-11 22:00,22,5,0,-2.6,549.0
2025-01-11 23:00,23,5,0,-4.1,531.7
2025-01-12 00:00,0,6,0,-4.0,481.9
2025-01-12 01:00,1,6,0,-3.7,511.0
2025-01-12 02:00,2,6,0,-4.0,542.8
2025-01-12 03:00,3,6,0,-5.0,609.6
2025-01-12 04:00,4,6,0,-3.6,648.3
2025-01-12 05:00,5,6,0,-4.4,681.7
2025-01-12 06:00,6,6,0,-3.6,709.5
2025-01-12 07:00,7,6,0,-2.8,730.1
2025-01-12 08:00,8,6,0,-1.6,734.0
2025-01-12 09:00,9,6,0,-1.3,747.7
2025-01-12 10:00,10,6,0,-0.5,762.1
2025-01-12 11:00,11,6,0,1.2,775.9
2025-01-12 12:00,12,6,0,1.7,803.4
2025-01-12 13:00,13,6,0,1.5,829.4
2025-01-12 14:00,14,6,0,2.0,840.9
2025-01-12 15:00,15,6,0,2.2,857.4
2025-01-12 16:00,16,6,0,2.0,880.2
2025-01-12 17:00,17,6,0,1.2,856.7
2025-01-12 18:00,18,6,0,0.9,788.0
2025-01-12 19:00,19,6,0,0.1,718.9
2025-01-12 20:00,20,6,0,-1.6,656.0
2025-01-12 21:00,21,6,0,-2.4,581.4
2025-01-12 22:00,22,6,0,-3.4,510.4
2025-01-12 23:00,23,6,0,-4.2,480.6
2025-01-13 00:00,0,0,0,-6.1,555.0
2025-01-13 01:00,1,0,0,-7.1,592.2
2025-01-13 02:00,2,0,0,-7.1,622.7
2025-01-13 03:00,3,0,0,-6.6,688.3
2025-01-13 04:00,4,0,0,-6.2,734.9
2025-01-13 05:00,5,0,0,-5.7,781.3
2025-01-13 06:00,6,0,0,-4.5,816.3
2025-01-13 07:00,7,0,0,-3.1,837.0
2025-01-13 08:00,8,0,0,-1.0,843.4
2025-01-13 09:00,9,0,0,0.3,848.6
2025-01-13 10:00,10,0,0,1.0,881.1
2025-01-13 11:00,11,0,0,2.2,879.2
2025-01-13 12:00,12,0,0,1.9,924.9
2025-01-13 13:00,13,0,0,2.6,963.6
2025-01-13 14:00,14,0,0,2.8,991.2
2025-01-13 15:00,15,0,0,3.0,1024.1
2025-01-13 16:00,16,0,0,3.2,1017.3
2025-01-13 17:00,17,0,0,2.8,990.9
2025-01-13 18:00,18,0,0,1.4,932.1
2025-01-13 19:00,19,0,0,0.4,856.0
2025-01-13 20:00,20,0,0,-1.0,768.3
2025-01-13 21:00,21,0,0,-2.0,679.3
2025-01-13 22:00,22,0,0,-2.7,607.9
2025-01-13 23:00,23,0,0,-4.2,581.9
2025-01-14 00:00,0,1,0,-4.5,555.8
2025-01-14 01:00,1,1,0,-4.3,571.2
2025-01-14 02:00,2,1,0,-4.8,611.6
2025-01-14 03:00,3,1,0,-4.4,670.9
2025-01-14 04:00,4,1,0,-5.1,747.1
2025-01-14 05:00,5,1,0,-5.0,783.5
2025-01-14 06:00,6,1,0,-3.7,819.9
2025-01-14 07:00,7,1,0,-3.9,858.0
2025-01-14 08:00,8,1,0,-3.1,866.2
2025-01-14 09:00,9,1,0,-2.5,878.0
2025-01-14 10:00,10,1,0,-0.7,878.7
2025-01-14 11:00,11,1,0,1.0,921.1
2025-01-14 12:00,12,1,0,1.5,960.3
2025-01-14 13:00,13,1,0,2.3,988.6
2025-01-14 14:00,14,1,0,1.2,1042.0
2025-01-14 15:00,15,1,0,2.0,1041.5
2025-01-14 16:00,16,1,0,2.1,1046.5
2025-01-14 17:00,17,1,0,2.6,1011.2
2025-01-14 18:00,18,1,0,0.6,946.0
2025-01-14 19:00,19,1,0,0.1,853.2
2025-01-14 20:00,20,1,0,-1.0,764.4
2025-01-14 21:00,21,1,0,-3.5,695.9
2025-01-14 22:00,22,1,0,-4.9,623.9
2025-01-14 23:00,23,1,0,-5.7,598.5
2025-01-15 00:00,0,2,0,-5.9,582.9
2025-01-15 01:00,1,2,0,-6.3,593.1
2025-01-15 02:00,2,2,0,-6.9,636.7
2025-01-15 03:00,3,2,0,-6.7,694.6
2025-01-15 04:00,4,2,0,-6.5,740.2
2025-01-15 05:00,5,2,0,-6.4,758.7
2025-01-15 06:00,6,2,0,-6.3,803.0
2025-01-15 07:00,7,2,0,-5.2,833.3
2025-01-15 08:00,8,2,0,-4.0,845.8
2025-01-15 09:00,9,2,0,-1.8,839.1
2025-01-15 10:00,10,2,0,-0.9,849.9
2025-01-15 11:00,11,2,0,1.1,885.2
2025-01-15 12:00,12,2,0,2.2,932.0
2025-01-15 13:00,13,2,0,3.6,968.2
2025-01-15 14:00,14,2,0,3.5,1000.9
2025-01-15 15:00,15,2,0,3.1,1008.9
2025-01-15 16:00,16,2,0,2.8,1012.7
2025-01-15 17:00,17,2,0,3.0,986.6
2025-01-15 18:00,18,2,0,2.6,912.6
2025-01-15 19:00,19,2,0,2.2,839.4
2025-01-15 20:00,20,2,0,1.5,746.2
2025-01-15 21:00,21,2,0,1.1,645.8
2025-01-15 22:00,22,2,0,0.1,568.4
2025-01-15 23:00,23,2,0,-1.1,521.3
2025-01-16 00:00,0,3,0,-1.7,532.3
2025-01-16 01:00,1,3,0,-2.3,559.7
2025-01-16 02:00,2,3,0,-1.6,588.3
2025-01-16 03:00,3,3,0,-1.9,651.9
2025-01-16 04:00,4,3,0,-1.7,712.4
2025-01-16 05:00,5,3,0,-1.5,760.2
2025-01-16 06:00,6,3,0,-0.2,786.6
2025-01-16 07:00,7,3,0,1.1,804.8
2025-01-16 08:00,8,3,0,2.4,807.0
2025-01-16 09:00,9,3,0,2.6,814.5
2025-01-16 10:00,10,3,0,2.7,847.6
2025-01-16 11:00,11,3,0,3.8,875.1
2025-01-16 12:00,12,3,0,5.0,923.8
2025-01-16 13:00,13,3,0,6.5,942.1
2025-01-16 14:00,14,3,0,5.8,987.9
2025-01-16 15:00,15,3,0,5.8,990.8
2025-01-16 16:00,16,3,0,4.6,994.6
2025-01-16 17:00,17,3,0,3.6,978.2
2025-01-16 18:00,18,3,0,2.9,933.0
2025-01-16 19:00,19,3,0,2.7,843.1
2025-01-16 20:00,20,3,0,1.4,733.6
2025-01-16 21:00,21,3,0,-0.0,643.7
2025-01-16 22:00,22,3,0,-1.2,579.1
2025-01-16 23:00,23,3,0,-1.4,537.2
2025-01-17 00:00,0,4,0,-0.8,521.1
2025-01-17 01:00,1,4,0,-2.4,553.0
2025-01-17 02:00,2,4,0,-3.0,596.8
2025-01-17 03:00,3,4,0,-3.3,665.7
2025-01-17 04:00,4,4,0,-2.5,713.9
2025-01-17 05:00,5,4,0,-1.8,753.2
2025-01-17 06:00,6,4,0,-0.3,788.8
2025-01-17 07:00,7,4,0,-0.1,803.5
2025-01-17 08:00,8,4,0,0.8,823.4
2025-01-17 09:00,9,4,0,1.6,831.8
2025-01-17 10:00,10,4,0,1.9,861.1
2025-01-17 11:00,11,4,0,2.8,873.6
2025-01-17 12:00,12,4,0,2.9,912.7
2025-01-17 13:00,13,4,0,4.9,938.4
2025-01-17 14:00,14,4,0,5.5,966.8
2025-01-17 15:00,15,4,0,5.0,997.8
2025-01-17 16:00,16,4,0,4.5,994.2
2025-01-17 17:00,17,4,0,5.2,962.2
2025-01-17 18:00,18,4,0,4.2,909.7
2025-01-17 19:00,19,4,0,3.8,824.0
2025-01-17 20:00,20,4,0,3.2,740.3
2025-01-17 21:00,21,4,0,2.8,648.9
2025-01-17 22:00,22,4,0,2.1,565.7
2025-01-17 23:00,23,4,0,0.9,509.9
2025-01-18 00:00,0,5,0,-0.3,473.3
2025-01-18 01:00,1,5,0,-2.1,490.9
2025-01-18 02:00,2,5,0,-2.5,534.2
2025-01-18 03:00,3,5,0,-2.6,588.9
2025-01-18 04:00,4,5,0,-2.7,646.6
2025-01-18 05:00,5,5,0,-2.4,697.9
2025-01-18 06:00,6,5,0,-2.5,746.9
2025-01-18 07:00,7,5,0,-0.3,737.6
2025-01-18 08:00,8,5,0,0.3,749.7
2025-01-18 09:00,9,5,0,0.7,756.2
2025-01-18 10:00,10,5,0,1.4,763.9
2025-01-18 11:00,11,5,0,2.3,800.1
2025-01-18 12:00,12,5,0,3.6,830.7
2025-01-18 13:00,13,5,0,2.8,859.5
2025-01-18 14:00,14,5,0,3.5,902.4
2025-01-18 15:00,15,5,0,3.3,931.4
2025-01-18 16:00,16,5,0,3.1,925.9
2025-01-18 17:00,17,5,0,3.4,905.0
2025-01-18 18:00,18,5,0,3.3,844.1
2025-01-18 19:00,19,5,0,2.0,781.6
2025-01-18 20:00,20,5,0,1.1,669.4
2025-01-18 21:00,21,5,0,1.2,592.0
2025-01-18 22:00,22,5,0,1.0,534.3
2025-01-18 23:00,23,5,0,0.5,487.2
2025-01-19 00:00,0,6,0,-0.4,452.4
2025-01-19 01:00,1,6,0,-0.5,472.4
2025-01-19 02:00,2,6,0,-0.7,509.8
2025-01-19 03:00,3,6,0,-1.2,557.6
2025-01-19 04:00,4,6,0,-1.8,597.5
2025-01-19 05:00,5,6,0,-1.1,644.3
2025-01-19 06:00,6,6,0,-0.2,675.3
2025-01-19 07:00,7,6,0,1.3,702.5
2025-01-19 08:00,8,6,0,1.9,693.4
2025-01-19 09:00,9,6,0,3.7,695.4
2025-01-19 10:00,10,6,0,4.4,698.1
2025-01-19 11:00,11,6,0,6.1,716.5
2025-01-19 12:00,12,6,0,7.2,740.7
2025-01-19 13:00,13,6,0,7.3,770.1
2025-01-19 14:00,14,6,0,7.1,806.0
2025-01-19 15:00,15,6,0,7.1,823.9
2025-01-19 16:00,16,6,0,6.7,834.9
2025-01-19 17:00,17,6,0,6.8,805.3
2025-01-19 18:00,18,6,0,5.7,757.8
2025-01-19 19:00,19,6,0,4.0,686.6
2025-01-19 20:00,20,6,0,3.0,618.0
2025-01-19 21:00,21,6,0,3.0,552.4
2025-01-19 22:00,22,6,0,2.9,484.6
2025-01-19 23:00,23,6,0,1.5,425.1
2025-01-20 00:00,0,0,0,0.4,491.3
2025-01-20 01:00,1,0,0,-0.1,513.6
2025-01-20 02:00,2,0,0,-0.9,562.4
2025-01-20 03:00,3,0,0,-1.3,632.3
2025-01-20 04:00,4,0,0,-1.4,689.8
2025-01-20 05:00,5,0,0,-1.6,762.3
2025-01-20 06:00,6,0,0,-1.4,797.2
2025-01-20 07:00,7,0,0,-0.9,819.3
2025-01-20 08:00,8,0,0,0.2,806.6
2025-01-20 09:00,9,0,0,0.6,823.2
2025-01-20 10:00,10,0,0,1.7,845.5
2025-01-20 11:00,11,0,0,2.1,874.8
2025-01-20 12:00,12,0,0,2.4,895.2
2025-01-20 13:00,13,0,0,2.4,950.1
2025-01-20 14:00,14,0,0,5.3,968.7
2025-01-20 15:00,15,0,0,6.2,976.1
2025-01-20 16:00,16,0,0,6.8,978.0
2025-01-20 17:00,17,0,0,6.9,960.9
2025-01-20 18:00,18,0,0,6.0,915.1
2025-01-20 19:00,19,0,0,5.2,834.9
2025-01-20 20:00,20,0,0,4.3,732.6
2025-01-20 21:00,21,0,0,3.5,634.7
2025-01-20 22:00,22,0,0,2.7,573.3
2025-01-20 23:00,23,0,0,2.6,519.1
2025-01-21 00:00,0,1,0,-0.1,531.8
2025-01-21 01:00,1,1,0,-1.1,562.7
2025-01-21 02:00,2,1,0,-1.2,607.5
2025-01-21 03:00,3,1,0,-1.6,673.0
2025-01-21 04:00,4,1,0,-1.6,726.0
2025-01-21 05:00,5,1,0,-0.3,765.2
2025-01-21 06:00,6,1,0,0.4,805.0
2025-01-21 07:00,7,1,0,2.2,793.7
2025-01-21 08:00,8,1,0,3.1,796.7
2025-01-21 09:00,9,1,0,4.1,817.7
2025-01-21 10:00,10,1,0,4.4,821.4
2025-01-21 11:00,11,1,0,4.1,842.3
2025-01-21 12:00,12,1,0,4.7,877.3
2025-01-21 13:00,13,1,0,5.3,925.0
2025-01-21 14:00,14,1,0,5.5,944.1
2025-01-21 15:00,15,1,0,4.8,974.8
2025-01-21 16:00,16,1,0,5.1,972.9
2025-01-21 17:00,17,1,0,4.7,940.7
2025-01-21 18:00,18,1,0,4.1,892.0
2025-01-21 19:00,19,1,0,2.8,830.1
2025-01-21 20:00,20,1,0,2.8,732.2
2025-01-21 21:00,21,1,0,2.6,633.8
2025-01-21 22:00,22,1,0,1.7,564.8
2025-01-21 23:00,23,1,0,0.7,522.3
2025-01-22 00:00,0,2,0,-0.1,524.0
2025-01-22 01:00,1,2,0,0.3,542.1
2025-01-22 02:00,2,2,0,1.5,596.1
2025-01-22 03:00,3,2,0,1.2,635.9
2025-01-22 04:00,4,2,0,1.0,696.1
2025-01-22 05:00,5,2,0,0.2,762.2
2025-01-22 06:00,6,2,0,2.4,779.2
2025-01-22 07:00,7,2,0,2.4,804.5
2025-01-22 08:00,8,2,0,3.8,803.3
2025-01-22 09:00,9,2,0,5.0,815.3
2025-01-22 10:00,10,2,0,6.8,828.6
2025-01-22 11:00,11,2,0,7.1,846.7
2025-01-22 12:00,12,2,0,6.8,874.6
2025-01-22 13:00,13,2,0,7.4,906.9
2025-01-22 14:00,14,2,0,8.0,931.9
2025-01-22 15:00,15,2,0,8.7,958.1
2025-01-22 16:00,16,2,0,7.5,971.4
2025-01-22 17:00,17,2,0,6.7,936.9
2025-01-22 18:00,18,2,0,5.9,890.8
2025-01-22 19:00,19,2,0,4.2,817.2
2025-01-22 20:00,20,2,0,3.1,739.6
2025-01-22 21:00,21,2,0,2.5,636.0
2025-01-22 22:00,22,2,0,1.4,551.9
2025-01-22 23:00,23,2,0,-0.5,506.2
2025-01-23 00:00,0,3,0,-1.1,504.4
2025-01-23 01:00,1,3,0,-1.3,534.0
2025-01-23 02:00,2,3,0,-1.4,590.2
2025-01-23 03:00,3,3,0,-1.1,619.7
2025-01-23 04:00,4,3,0,-2.0,686.2
2025-01-23 05:00,5,3,0,-1.3,722.6
2025-01-23 06:00,6,3,0,-0.4,764.2
2025-01-23 07:00,7,3,0,0.2,773.0
2025-01-23 08:00,8,3,0,1.1,778.5
2025-01-23 09:00,9,3,0,1.6,806.3
2025-01-23 10:00,10,3,0,3.4,798.9
2025-01-23 11:00,11,3,0,4.1,819.5
2025-01-23 12:00,12,3,0,4.4,856.2
2025-01-23 13:00,13,3,0,5.1,903.8
2025-01-23 14:00,14,3,0,5.6,952.5
2025-01-23 15:00,15,3,0,6.1,985.5
2025-01-23 16:00,16,3,0,5.4,998.9
2025-01-23 17:00,17,3,0,4.6,958.1
2025-01-23 18:00,18,3,0,4.2,915.3
2025-01-23 19:00,19,3,0,4.7,802.2
2025-01-23 20:00,20,3,0,3.9,712.9
