gun,saat,hafta_sonu,sicaklik_C,tuketim_kW
4,15,0,21.3,122.0
4,16,0,24.2,141.7
4,17,0,25.8,175.7
4,18,0,27.5,194.7
4,19,0,26.8,174.9
4,20,0,26.4,155.3
4,21,0,26.8,127.7
4,22,0,22.8,91.0
4,23,0,22.0,74.5
5,0,0,21.0,56.8
5,1,0,19.7,56.0
5,2,0,20.4,50.2
5,3,0,15.7,38.9
5,4,0,14.9,950.0
5,5,0,16.6,83.5
5,6,0,12.0,86.7
5,7,0,13.4,103.1
5,8,0,9.8,117.1
5,9,0,11.5,132.2
5,10,0,10.8,126.2
5,11,0,13.3,119.1
5,12,0,17.3,129.7
5,13,0,14.1,98.6
5,14,0,20.5,129.2
5,15,0,22.2,144.5
5,16,0,22.4,135.0
5,17,0,22.4,165.0
5,18,0,26.7,185.1
5,19,0,26.3,169.5
5,20,0,28.1,162.1
5,21,0,27.4,147.1
5,22,0,29.8,145.2
5,23,0,24.8,71.1
6,0,1,22.0,60.2
6,1,1,22.4,40.8
6,2,1,20.4,50.0
6,3,1,20.6,35.3
6,4,1,17.7,41.5
6,5,1,15.1,56.9
6,6,1,16.0,97.4
6,7,1,9.9,96.8
6,8,1,10.7,93.3
6,9,1,10.4,106.8
6,10,1,12.3,91.6
6,11,1,11.6,86.1
6,12,1,17.3,97.3
6,13,1,17.5,90.2
6,14,1,17.1,96.7
6,15,1,20.0,99.1
6,16,1,24.6,111.9
6,17,1,27.3,144.6
6,18,1,30.9,165.0
6,19,1,33.6,205.2
6,20,1,28.8,126.7
6,21,1,25.7,84.2
6,22,1,22.7,71.5
6,23,1,26.2,62.8
7,0,1,22.7,39.5
7,1,1,21.6,47.1
7,2,1,19.1,25.3
7,3,1,18.0,32.7
7,4,1,18.5,35.8
7,5,1,15.0,53.6
7,6,1,13.1,74.2
7,7,1,10.6,81.9
7,8,1,9.0,104.8
7,9,1,11.7,99.5
7,10,1,13.3,79.4
7,11,1,18.2,74.3
7,12,1,16.6,89.9
7,13,1,20.2,88.2
7,14,1,19.4,93.7
7,15,1,20.1,98.8
7,16,1,22.4,109.8
7,17,1,24.6,134.6
7,18,1,31.5,177.8
7,19,1,,126.1
7,20,1,30.0,136.3
7,21,1,26.3,100.9
7,22,1,29.1,111.1
7,23,1,26.8,62.1
8,0,0,24.4,40.5
8,1,0,22.7,40.4
8,2,0,19.4,41.3
8,3,0,,43.5
8,4,0,15.8,50.7
8,5,0,12.6,72.3
8,6,0,11.2,93.5
8,7,0,13.3,128.4
8,8,0,15.8,126.6
8,9,0,13.3,125.1
8,10,0,13.5,129.8
8,11,0,15.6,107.7
8,12,0,19.3,123.1
8,13,0,19.0,120.8
8,14,0,19.9,124.8
8,15,0,25.0,147.1
8,16,0,25.5,143.8
8,17,0,29.4,215.9
8,18,0,28.0,198.0
8,19,0,26.0,164.6
8,20,0,25.9,151.3
8,21,0,31.7,164.9
8,22,0,31.1,136.8
8,23,0,26.0,82.1
9,0,0,24.2,64.7
9,1,0,26.0,55.9
9,2,0,18.8,55.9
9,3,0,17.1,57.3
9,4,0,18.3,65.5
9,5,0,14.5,76.2
9,6,0,14.0,106.9
9,7,0,12.9,105.0
9,8,0,13.6,129.5
9,9,0,16.1,125.1
9,10,0,14.2,127.0
9,11,0,16.6,115.4
9,12,0,12.9,118.7
9,13,0,18.8,135.1
9,14,0,19.3,124.6
9,15,0,20.6,135.3
9,16,0,23.2,142.1
9,17,0,26.0,175.5
9,18,0,29.7,214.4
9,19,0,26.0,178.9
9,20,0,29.0,181.6
9,21,0,27.7,151.2
9,22,0,27.2,113.1
9,23,0,28.6,101.7
10,0,0,26.3,59.6
10,1,0,26.0,60.3
10,2,0,20.9,55.5
10,3,0,17.8,54.9
10,4,0,16.8,55.7
10,5,0,16.1,79.1
10,6,0,14.7,99.9
10,7,0,11.3,129.6
10,8,0,13.4,134.3
10,9,0,14.0,129.2
10,10,0,19.3,128.7
10,11,0,19.3,96.6
10,12,0,15.5,123.1
10,13,0,18.6,90.8
10,14,0,18.3,112.2
10,15,0,22.1,135.6
10,16,0,25.9,154.2
10,17,0,29.3,189.2
10,18,0,26.7,185.4
10,19,0,27.7,196.4
10,20,0,24.9,142.4
10,21,0,28.6,162.9
10,22,0,26.0,103.3
10,23,0,25.8,81.5
11,0,0,23.7,72.9
11,1,0,23.3,55.0
11,2,0,17.9,40.0
11,3,0,16.5,47.1
11,4,0,21.7,53.7
11,5,0,13.2,61.1
11,6,0,12.3,94.0
11,7,0,17.4,114.1
11,8,0,19.3,139.4
11,9,0,11.4,132.3
11,10,0,13.8,123.7
11,11,0,16.5,119.2
11,12,0,20.9,121.8
11,13,0,17.4,124.9
11,14,0,21.0,118.0
11,15,0,25.1,126.5
11,16,0,26.3,161.7
11,17,0,26.4,173.8
11,18,0,28.1,189.6
11,19,0,26.4,181.1
11,20,0,29.0,175.6
11,21,0,28.7,132.9
11,22,0,28.9,124.6
11,23,0,26.0,85.0
12,0,0,26.6,73.5
12,1,0,25.8,64.8
12,2,0,22.0,36.8
12,3,0,20.3,50.6
12,4,0,17.8,51.6
12,5,0,16.0,68.1
12,6,0,13.3,103.0
12,7,0,14.6,131.8
12,8,0,13.5,146.4
12,9,0,18.1,142.5
12,10,0,17.9,125.1
12,11,0,16.8,122.8
12,12,0,16.1,126.1
12,13,0,17.4,121.0
12,14,0,24.0,127.1
12,15,0,24.3,138.9
12,16,0,26.6,154.1
12,17,0,23.8,162.2
12,18,0,30.4,217.5
12,19,0,30.3,212.5
12,20,0,27.4,159.9
12,21,0,28.4,146.1
12,22,0,29.1,130.2
12,23,0,27.4,84.8
13,0,1,25.2,54.4
13,1,1,23.7,43.5
13,2,1,21.3,26.1
13,3,1,20.0,47.5
13,4,1,20.7,36.5
13,5,1,11.0,40.8
13,6,1,14.4,63.6
13,7,1,14.4,81.8
13,8,1,14.4,99.4
13,9,1,13.3,96.8
13,10,1,11.4,91.8
13,11,1,,95.0
13,12,1,21.3,92.7
13,13,1,16.7,92.5
13,14,1,23.5,97.8
13,15,1,23.2,103.9
13,16,1,25.7,96.6
13,17,1,25.4,127.0
13,18,1,28.1,138.0
13,19,1,32.1,184.3
13,20,1,31.0,154.0
13,21,1,33.0,165.8
13,22,1,31.1,128.7
13,23,1,28.3,78.2
14,0,1,29.4,72.4
14,1,1,24.9,46.4
14,2,1,23.6,31.8
14,3,1,19.2,36.0
14,4,1,18.0,48.4
14,5,1,14.9,49.5
14,6,1,17.0,78.4
14,7,1,11.8,95.4
14,8,1,15.5,91.4
14,9,1,13.8,106.8
14,10,1,17.3,100.1
14,11,1,17.8,90.8
14,12,1,21.6,83.9
14,13,1,21.3,83.1
14,14,1,18.8,90.2
14,15,1,23.8,103.3
14,16,1,23.6,100.4
14,17,1,26.5,139.6
14,18,1,31.9,180.2
14,19,1,30.9,169.8
14,20,1,28.5,132.9
14,21,1,27.6,126.7
14,22,1,28.9,88.2
14,23,1,25.1,68.8
15,0,0,24.6,62.5
15,1,0,24.7,58.7
15,2,0,24.3,49.3
15,3,0,21.1,51.6
15,4,0,13.4,52.8
15,5,0,16.9,83.6
15,6,0,15.2,92.3
15,7,0,15.1,129.1
15,8,0,17.2,126.8
15,9,0,10.1,131.5
15,10,0,13.9,117.4
15,11,0,17.5,123.6
15,12,0,14.8,131.6
15,13,0,22.9,119.4
15,14,0,22.7,124.4
15,15,0,25.7,128.8
15,16,0,24.8,144.1
15,17,0,29.3,185.4
15,18,0,31.0,219.4
15,19,0,30.2,208.1
15,20,0,30.4,195.5
15,21,0,30.2,181.5
15,22,0,27.2,105.5
15,23,0,27.3,98.7
16,0,0,25.7,67.5
16,1,0,24.8,54.7
16,2,0,24.0,51.5
16,3,0,17.8,48.5
16,4,0,17.7,54.9
16,5,0,19.3,68.7
16,6,0,13.6,84.8
16,7,0,12.6,107.7
16,8,0,14.4,137.2
16,9,0,16.0,129.8
16,10,0,15.1,121.2
16,11,0,19.0,120.1
16,12,0,19.7,126.4
16,13,0,21.6,121.4
16,14,0,23.1,120.8
16,15,0,28.7,167.5
16,16,0,25.6,161.6
16,17,0,23.6,172.0
16,18,0,32.1,245.8
16,19,0,28.8,204.3
16,20,0,30.2,191.8
16,21,0,32.3,185.2
16,22,0,25.7,106.4
16,23,0,25.2,79.3
17,0,0,22.8,51.2
17,1,0,22.5,59.6
17,2,0,22.9,37.2
17,3,0,21.0,41.6
17,4,0,18.5,64.4
17,5,0,13.5,78.7
17,6,0,10.4,107.9
17,7,0,14.4,117.8
17,8,0,13.0,122.8
17,9,0,15.2,130.1
17,10,0,16.5,126.8
17,11,0,16.6,120.6
17,12,0,19.5,129.1
17,13,0,20.4,117.1
17,14,0,23.0,128.8
17,15,0,22.6,124.1
17,16,0,25.6,152.8
17,17,0,28.0,188.2
17,18,0,30.5,215.9
17,19,0,28.9,193.4
17,20,0,31.0,189.0
17,21,0,29.2,147.3
17,22,0,28.7,135.4
17,23,0,29.3,101.7
18,0,0,21.9,58.0
18,1,0,21.4,37.2
18,2,0,18.9,40.8
18,3,0,15.2,45.9
18,4,0,16.6,48.5
18,5,0,17.8,83.1
18,6,0,14.4,94.7
18,7,0,14.6,130.3
18,8,0,16.1,132.5
18,9,0,16.8,132.3
18,10,0,14.8,125.3
18,11,0,19.0,120.0
18,12,0,18.1,133.8
18,13,0,18.2,101.4
18,14,0,20.7,110.0
18,15,0,,127.7
18,16,0,24.1,144.2
18,17,0,26.9,185.6
18,18,0,30.4,224.7
18,19,0,33.1,233.3
18,20,0,27.1,166.1
18,21,0,30.4,169.0
18,22,0,26.8,108.9
18,23,0,28.5,103.7
19,0,0,25.5,67.0
19,1,0,20.2,49.5
19,2,0,23.7,53.6
19,3,0,18.5,48.9
19,4,0,16.7,54.0
19,5,0,14.0,83.8
19,6,0,13.6,76.4
19,7,0,,108.7
19,8,0,13.4,122.5
19,9,0,14.7,129.1
19,10,0,15.6,124.0
19,11,0,18.8,107.9
19,12,0,17.1,112.1
19,13,0,16.8,113.1
19,14,0,23.9,145.7
19,15,0,23.2,146.4
19,16,0,28.0,161.0
19,17,0,28.2,186.8
19,18,0,28.5,194.4
19,19,0,30.2,191.6
19,20,0,33.7,218.7
19,21,0,33.7,187.4
19,22,0,28.9,122.2
19,23,0,27.8,77.6
20,0,1,27.8,57.5
20,1,1,,41.7
20,2,1,22.3,38.9
20,3,1,19.5,39.3
20,4,1,18.3,29.9
20,5,1,14.3,60.8
20,6,1,11.5,65.6
20,7,1,9.8,95.1
20,8,1,11.4,98.9
20,9,1,13.0,88.0
20,10,1,14.1,92.0
20,11,1,19.9,92.9
20,12,1,19.9,94.9
20,13,1,17.7,88.9
20,14,1,22.3,106.8
20,15,1,22.9,107.1
20,16,1,25.1,108.8
20,17,1,27.7,149.7
20,18,1,29.8,185.6
20,19,1,28.7,167.2
20,20,1,31.8,152.4
20,21,1,27.1,96.2
20,22,1,28.6,108.5
20,23,1,32.5,107.6
21,0,1,25.9,41.0
21,1,1,26.4,45.9
21,2,1,21.6,39.4
21,3,1,20.6,35.2
21,4,1,17.4,35.3
21,5,1,15.5,48.6
21,6,1,13.0,66.3
21,7,1,14.6,83.0
21,8,1,11.8,117.3
21,9,1,15.1,101.4
21,10,1,16.7,101.6
21,11,1,16.5,86.1
21,12,1,16.9,88.5
21,13,1,20.3,84.3
21,14,1,20.8,73.3
21,15,1,25.4,92.1
21,16,1,21.8,93.5
21,17,1,26.4,117.6
21,18,1,24.4,126.1
21,19,1,26.2,144.8
21,20,1,32.2,166.3
21,21,1,31.0,146.4
21,22,1,27.0,88.0
21,23,1,24.1,60.4
22,0,0,19.3,52.8
22,1,0,22.2,58.2
22,2,0,26.1,61.3
22,3,0,20.0,43.4
22,4,0,16.1,58.5
22,5,0,16.5,76.5
22,6,0,11.2,91.6
22,7,0,12.9,111.0
22,8,0,13.4,122.5
22,9,0,13.3,132.7
22,10,0,15.9,128.6
22,11,0,16.3,113.7
22,12,0,,120.2
22,13,0,17.8,124.6
22,14,0,23.0,130.9
22,15,0,26.6,154.7
22,16,0,23.3,154.2
22,17,0,25.1,162.9
22,18,0,30.8,238.2
22,19,0,,188.3
22,20,0,32.0,209.4
22,21,0,28.1,141.1
22,22,0,31.1,139.7
22,23,0,27.2,71.6
23,0,0,25.5,63.2
23,1,0,26.2,49.5
23,2,0,20.2,55.7
23,3,0,17.0,60.1
23,4,0,16.1,47.6
23,5,0,16.2,74.4
23,6,0,10.9,90.2
23,7,0,14.5,115.0
23,8,0,11.9,138.2
23,9,0,15.5,131.7
23,10,0,9.3,139.9
23,11,0,13.7,116.1
23,12,0,13.6,128.0
23,13,0,17.2,120.8
23,14,0,21.5,132.4
23,15,0,22.7,128.4
23,16,0,24.5,144.4
23,17,0,26.3,175.9
23,18,0,28.3,195.7
23,19,0,26.7,184.3
23,20,0,30.4,189.5
23,21,0,30.0,161.7
23,22,0,28.7,133.5
23,23,0,27.7,101.7
24,0,0,25.3,60.6
24,1,0,26.8,68.8
24,2,0,20.5,43.0
24,3,0,18.0,48.2
24,4,0,15.2,49.2
24,5,0,13.0,85.0
24,6,0,11.3,98.9
24,7,0,11.2,118.3
24,8,0,12.5,141.5
24,9,0,13.6,114.6
24,10,0,13.9,109.9
24,11,0,13.5,126.4
24,12,0,18.5,120.5
24,13,0,20.1,122.0
24,14,0,20.4,115.4
24,15,0,21.4,131.8
24,16,0,25.8,165.9
24,17,0,26.7,185.7
24,18,0,24.7,182.8
24,19,0,28.3,186.5
24,20,0,29.2,170.5
24,21,0,26.6,113.5
24,22,0,28.0,117.9
24,23,0,23.4,78.8
25,0,0,27.0,60.5
25,1,0,24.9,50.9
25,2,0,19.8,38.7
25,3,0,19.0,40.3
25,4,0,11.5,54.4
25,5,0,12.4,55.3
25,6,0,12.8,100.9
25,7,0,10.5,126.0
25,8,0,13.8,130.0
25,9,0,16.6,112.2
25,10,0,11.1,118.0
25,11,0,13.0,129.9
25,12,0,16.8,97.8
25,13,0,21.5,117.2
25,14,0,17.9,116.6
25,15,0,22.9,138.4
25,16,0,28.0,158.6
25,17,0,22.7,171.2
25,18,0,24.7,186.0
25,19,0,27.2,197.2
25,20,0,27.3,157.4
25,21,0,29.7,157.1
25,22,0,27.8,102.4
25,23,0,22.5,81.5
26,0,0,25.0,56.5
26,1,0,20.9,49.5
26,2,0,22.5,47.8
26,3,0,16.7,35.5
26,4,0,14.7,55.8
26,5,0,15.4,79.7
26,6,0,14.6,98.3
26,7,0,13.2,107.3
26,8,0,8.6,131.0
26,9,0,13.3,137.9
26,10,0,11.0,111.0
26,11,0,14.8,111.4
26,12,0,13.2,127.0
26,13,0,18.8,122.2
26,14,0,18.4,129.3
26,15,0,19.5,146.9
26,16,0,25.4,152.0
26,17,0,26.1,181.1
26,18,0,25.7,207.2
26,19,0,30.6,209.0
26,20,0,27.1,151.4
26,21,0,27.8,141.9
26,22,0,27.5,115.6
26,23,0,24.4,68.5
27,0,1,24.6,37.8
27,1,1,20.6,59.0
27,2,1,18.8,38.6
27,3,1,20.3,30.1
27,4,1,13.5,47.8
27,5,1,9.1,53.1
27,6,1,15.9,70.0
27,7,1,17.0,94.5
27,8,1,10.8,88.7
27,9,1,8.0,101.8
27,10,1,12.1,109.8
27,11,1,13.4,93.7
27,12,1,15.2,87.0
27,13,1,15.3,85.9
27,14,1,20.8,91.2
27,15,1,22.7,97.0
27,16,1,20.6,105.0
27,17,1,26.7,144.3
27,18,1,30.7,164.1
27,19,1,27.7,150.7
27,20,1,27.0,117.6
27,21,1,27.1,106.5
27,22,1,27.8,81.4
27,23,1,21.8,64.6
28,0,1,23.6,55.0
28,1,1,20.5,48.2
28,2,1,22.9,23.9
28,3,1,16.8,42.6
28,4,1,18.6,43.7
28,5,1,,41.2
28,6,1,13.5,71.8
28,7,1,12.1,92.9
28,8,1,9.5,103.4
28,9,1,11.9,100.4
28,10,1,14.7,96.8
28,11,1,12.9,101.8
28,12,1,11.9,99.8
28,13,1,17.1,67.1
28,14,1,17.4,92.0
28,15,1,20.6,97.7
28,16,1,23.1,94.0
28,17,1,21.5,126.8
28,18,1,22.9,145.0
28,19,1,27.9,136.8
28,20,1,26.2,118.8
28,21,1,21.8,82.7
28,22,1,27.7,84.7
28,23,1,25.4,70.1
29,0,0,21.4,55.7
29,1,0,18.3,57.7
29,2,0,20.5,33.0
29,3,0,17.5,62.9
29,4,0,19.6,58.8
29,5,0,14.0,70.5
29,6,0,12.7,100.6
29,7,0,10.8,108.7
29,8,0,12.5,141.5
29,9,0,12.4,129.4
29,10,0,14.4,124.4
29,11,0,12.1,116.1
29,12,0,14.0,115.4
29,13,0,15.8,125.6
29,14,0,20.4,128.0
29,15,0,23.9,137.2
29,16,0,21.9,143.9
29,17,0,23.6,172.1
29,18,0,26.4,185.9
29,19,0,26.1,193.3
29,20,0,,157.2
29,21,0,22.1,130.1
29,22,0,24.1,107.0
29,23,0,22.9,65.2
30,0,0,17.8,77.8
30,1,0,18.6,62.0
30,2,0,16.6,55.8
30,3,0,15.9,48.2
30,4,0,16.6,52.3
30,5,0,12.3,70.3
30,6,0,9.4,99.1
30,7,0,10.6,131.2
30,8,0,12.5,133.5
30,9,0,8.7,124.7
30,10,0,9.7,132.6
30,11,0,13.9,127.4
30,12,0,14.0,125.2
30,13,0,17.6,126.0
30,14,0,18.4,123.8
30,15,0,21.9,124.6
30,16,0,20.3,137.1
30,17,0,24.1,154.9
30,18,0,24.9,184.1
30,19,0,23.7,167.3
30,20,0,23.3,140.5
30,21,0,27.5,112.8
30,22,0,24.6,87.3
30,23,0,22.0,81.0
