motor_tipi,calisma_saati,titresim_rms_mms,titresim_kurtosis,sicaklik_C,akim_dengesizlik_pct,ariza
dc,10744.0,2.73,3.17,48.1,1.46,0
asenkron,120.0,1.4,2.12,46.2,3.27,0
senkron,215.0,1.29,2.64,62.0,3.16,0
senkron,12322.0,5.68,2.17,67.6,2.77,1
asenkron,11988.0,3.4,1.99,55.6,1.53,0
senkron,3448.0,2.91,4.22,56.3,6.55,0
asenkron,3548.0,2.74,2.49,66.1,0.7,0
senkron,424.0,1.65,5.24,82.1,2.41,1
senkron,1001.0,4.49,2.97,64.7,1.38,0
asenkron,5798.0,2.14,2.89,56.1,1.39,0
asenkron,14017.0,3.26,4.06,70.2,4.34,0
asenkron,9998.0,4.44,6.1,78.1,3.95,1
asenkron,7024.0,3.83,2.15,74.2,0.44,0
senkron,3706.0,2.73,3.35,67.4,0.47,0
senkron,11497.0,3.31,3.21,39.2,4.24,0
dc,7693.0,2.85,2.77,68.0,0.64,0
senkron,10446.0,2.23,1.94,61.7,2.79,0
senkron,5206.0,1.86,3.15,54.3,1.88,0
senkron,8884.0,1.62,3.88,79.5,6.63,1
dc,8405.0,2.71,2.31,65.3,1.25,0
asenkron,18664.0,3.44,3.09,82.3,0.27,0
senkron,8180.0,1.24,3.1,62.7,3.99,0
senkron,900.0,2.57,4.54,33.5,1.33,0
asenkron,4064.0,2.38,3.83,61.0,3.26,0
senkron,18562.0,1.85,1.5,68.3,0.69,0
dc,4473.0,2.68,3.41,77.2,2.08,0
asenkron,9280.0,2.71,2.72,71.8,3.12,0
asenkron,13000.0,2.19,3.22,58.2,1.05,0
dc,2428.0,2.1,3.41,57.2,1.03,0
asenkron,4339.0,3.37,2.5,51.4,2.09,0
asenkron,5510.0,3.06,3.33,71.8,2.0,0
asenkron,15347.0,3.15,3.23,71.9,1.58,0
asenkron,16810.0,1.81,2.24,57.4,1.44,0
dc,10552.0,2.81,1.5,77.3,0.61,0
asenkron,728.0,2.93,1.98,54.5,0.92,0
senkron,3038.0,2.82,2.71,55.7,2.87,0
asenkron,8642.0,4.79,2.13,51.4,0.88,0
dc,15335.0,2.73,1.86,77.8,1.57,0
senkron,14205.0,4.5,3.75,56.5,1.4,0
dc,678.0,3.65,2.15,66.2,2.16,0
asenkron,10539.0,2.23,3.18,69.2,4.22,0
senkron,3528.0,1.27,3.03,61.0,8.18,0
senkron,6211.0,4.28,1.85,70.3,1.29,1
senkron,7913.0,2.93,2.43,67.9,1.6,0
asenkron,18472.0,6.38,7.16,59.9,1.88,1
asenkron,6892.0,4.23,3.24,58.6,3.35,0
asenkron,5458.0,2.28,1.5,62.1,1.0,0
senkron,17593.0,2.58,3.22,52.7,2.46,0
asenkron,4752.0,2.78,4.57,70.8,3.29,0
asenkron,15000.0,4.16,4.31,63.0,3.37,0
dc,3865.0,1.28,3.59,67.6,0.75,0
senkron,19645.0,1.97,2.18,65.9,2.93,0
asenkron,15229.0,2.58,2.41,73.1,3.33,0
senkron,18842.0,3.12,3.65,65.3,3.01,0
senkron,3067.0,0.2,2.66,56.4,1.85,0
senkron,10532.0,3.33,2.53,61.3,2.27,0
dc,13728.0,1.25,1.5,49.8,3.14,1
dc,10615.0,4.69,3.41,64.7,2.52,1
asenkron,8662.0,4.1,4.25,52.1,0.39,0
senkron,7775.0,1.47,3.04,53.2,0.57,0
senkron,17698.0,3.23,2.59,49.5,2.91,0
asenkron,8796.0,2.68,3.69,56.4,0.55,0
dc,3636.0,3.12,4.1,78.8,3.15,0
senkron,1831.0,1.82,4.56,86.9,1.87,0
asenkron,12244.0,3.11,3.28,66.2,1.9,1
asenkron,7334.0,4.87,3.56,64.8,2.37,1
dc,19485.0,3.41,2.75,48.7,0.42,0
senkron,5665.0,2.01,1.75,55.8,5.51,0
asenkron,7120.0,2.83,3.46,48.9,1.55,0
asenkron,2270.0,2.39,4.34,53.4,1.46,0
asenkron,17003.0,3.62,1.55,67.6,3.35,1
senkron,10550.0,2.19,2.93,62.4,1.46,0
asenkron,12018.0,2.03,2.01,55.6,6.97,0
asenkron,9607.0,3.46,2.39,67.3,0.79,0
senkron,4938.0,2.37,4.06,64.5,0.08,0
senkron,17360.0,3.35,3.31,70.6,4.75,1
asenkron,2343.0,3.47,1.85,68.6,1.93,0
dc,7591.0,2.22,2.49,61.5,1.18,0
senkron,6985.0,3.22,4.32,75.2,1.05,0
asenkron,2845.0,2.55,1.92,73.3,3.17,0
asenkron,14283.0,3.12,3.23,61.7,2.21,0
asenkron,1310.0,4.03,3.77,52.4,1.27,0
asenkron,6571.0,2.61,1.76,58.2,0.85,0
asenkron,6441.0,3.06,3.49,50.7,3.53,0
asenkron,11352.0,3.11,3.05,61.6,3.73,0
asenkron,18975.0,3.88,2.55,72.0,2.95,0
dc,18678.0,2.45,2.9,64.8,1.86,0
senkron,19005.0,4.22,3.09,55.3,3.95,0
senkron,12805.0,3.43,3.03,64.8,12.1,1
asenkron,15215.0,1.27,3.77,70.1,3.65,0
asenkron,3660.0,0.77,2.3,71.7,2.19,0
asenkron,1025.0,3.39,2.74,76.9,3.16,1
asenkron,9183.0,3.21,3.32,59.1,1.33,0
senkron,12763.0,2.24,4.99,61.8,2.65,0
asenkron,3965.0,3.73,3.77,66.1,2.6,0
asenkron,15106.0,3.41,1.95,61.2,0.77,0
asenkron,18437.0,1.68,3.19,63.1,3.58,0
asenkron,8939.0,1.51,3.12,73.2,1.47,0
dc,115.0,1.81,3.1,68.5,0.5,0
asenkron,11070.0,2.48,2.76,56.9,2.45,0
senkron,8050.0,3.0,3.5,52.5,0.62,0
asenkron,4877.0,1.58,2.92,64.7,2.74,0
asenkron,5998.0,3.41,4.42,50.8,1.58,1
asenkron,5030.0,2.42,3.08,57.7,8.12,0
asenkron,16320.0,2.13,1.8,69.1,0.99,0
senkron,11417.0,4.01,3.88,64.7,3.13,0
asenkron,14459.0,4.51,4.01,55.3,1.8,0
senkron,17341.0,2.38,2.93,69.5,0.74,0
asenkron,1135.0,2.23,3.34,56.4,0.31,0
asenkron,7471.0,2.87,2.7,67.5,1.26,0
asenkron,18190.0,3.2,3.54,61.1,0.59,0
senkron,9112.0,3.88,4.71,62.1,3.8,1
asenkron,19927.0,2.75,3.56,65.9,1.08,0
dc,9326.0,3.02,2.37,51.9,1.99,0
dc,7680.0,0.86,5.72,84.6,6.32,1
asenkron,11133.0,1.32,2.43,79.7,1.43,0
dc,202.0,1.61,3.48,69.4,0.86,0
asenkron,3186.0,3.7,4.11,70.7,0.91,0
asenkron,4248.0,3.11,3.39,59.0,2.09,1
asenkron,18230.0,2.03,1.5,69.3,2.64,0
asenkron,2573.0,1.93,3.5,67.7,0.38,0
dc,14348.0,3.33,1.96,68.8,1.12,0
senkron,17408.0,3.35,2.39,59.8,3.81,0
asenkron,1258.0,3.17,4.57,63.3,0.95,0
dc,7532.0,2.58,2.52,60.7,0.69,0
asenkron,15608.0,2.46,2.77,64.9,4.7,0
senkron,12960.0,1.36,4.45,77.3,8.0,0
dc,11529.0,2.65,3.9,79.8,0.47,0
asenkron,14018.0,2.68,2.2,70.3,0.24,0
asenkron,1972.0,4.0,3.52,62.0,1.13,0
senkron,13098.0,3.91,1.67,65.4,1.99,0
asenkron,5496.0,2.36,2.06,63.5,1.03,0
asenkron,13193.0,1.82,3.77,49.1,1.38,0
asenkron,14900.0,4.42,3.46,66.0,5.49,1
senkron,10060.0,0.48,2.35,50.0,0.41,0
asenkron,17783.0,3.2,3.93,73.6,1.1,0
asenkron,6639.0,3.64,2.97,57.6,2.67,0
asenkron,8383.0,2.62,3.62,66.0,0.49,0
asenkron,12170.0,3.41,1.66,60.4,2.04,0
dc,4530.0,1.92,1.77,53.3,1.38,0
asenkron,12257.0,4.28,2.24,62.1,1.55,0
dc,14230.0,5.58,3.63,57.8,0.37,0
asenkron,15717.0,3.95,3.23,69.1,5.11,0
asenkron,18550.0,6.86,2.9,52.0,3.61,1
senkron,3103.0,3.11,3.89,62.2,0.57,0
senkron,4711.0,2.36,3.36,82.0,2.61,0
asenkron,10195.0,2.48,3.76,66.7,1.04,0
asenkron,8432.0,2.41,3.09,65.1,0.92,0
asenkron,3668.0,2.38,2.37,70.9,1.67,0
senkron,8215.0,2.77,3.7,50.5,2.01,0
dc,5164.0,2.94,2.5,70.7,1.64,0
dc,2989.0,2.98,2.81,86.4,6.37,1
asenkron,871.0,3.13,3.13,63.5,0.96,0
asenkron,17457.0,1.99,3.18,55.7,1.91,0
asenkron,7779.0,5.25,1.5,80.1,2.0,1
dc,12508.0,2.76,3.54,71.1,3.21,0
asenkron,3617.0,2.8,2.24,54.7,0.81,0
asenkron,16090.0,3.33,3.71,70.3,4.93,1
asenkron,2103.0,2.88,4.14,55.7,3.54,1
dc,4237.0,2.15,2.44,68.0,1.41,0
asenkron,13753.0,2.12,2.0,77.7,2.18,0
asenkron,12415.0,2.66,1.89,58.6,1.44,0
senkron,4389.0,2.8,1.5,71.0,1.11,1
asenkron,11137.0,3.4,3.46,63.4,2.88,0
senkron,14795.0,6.08,4.05,70.8,2.47,1
asenkron,5864.0,2.72,2.38,75.9,0.82,0
asenkron,7905.0,2.09,2.96,69.0,1.05,0
senkron,10041.0,3.16,2.86,65.1,1.14,0
senkron,3771.0,2.23,4.77,49.6,2.81,0
senkron,2678.0,3.11,2.21,58.8,0.25,0
asenkron,2278.0,4.12,3.52,76.1,3.82,1
asenkron,4583.0,2.74,2.63,67.0,0.97,0
asenkron,12819.0,4.73,3.19,54.9,2.27,0
dc,4823.0,2.41,3.57,52.0,1.37,0
asenkron,19689.0,2.65,3.67,57.2,2.06,0
asenkron,13619.0,0.87,3.03,67.0,1.26,0
asenkron,6730.0,2.64,3.12,61.1,1.34,0
senkron,1669.0,1.45,4.02,55.3,0.96,0
asenkron,18544.0,2.79,1.61,46.0,1.52,0
senkron,11346.0,2.79,1.71,49.6,2.38,0
asenkron,15877.0,1.48,3.71,50.6,1.35,0
senkron,19830.0,1.39,1.5,59.2,1.26,0
asenkron,4296.0,3.42,2.87,53.7,0.91,0
asenkron,3029.0,2.13,3.37,60.2,1.24,0
asenkron,3738.0,3.69,4.96,73.0,1.23,0
asenkron,10891.0,1.47,2.67,59.0,2.74,0
senkron,5151.0,1.29,2.42,50.9,5.33,0
dc,6127.0,4.34,7.97,76.5,2.4,1
asenkron,9343.0,4.18,2.26,72.1,0.2,0
asenkron,8571.0,1.19,1.71,60.6,0.88,0
senkron,19782.0,3.52,4.29,54.4,0.86,0
senkron,14419.0,4.74,2.27,64.1,1.49,0
senkron,6587.0,3.71,1.5,75.3,0.39,0
asenkron,2381.0,3.27,3.92,46.7,3.82,0
asenkron,17111.0,2.95,1.93,69.4,4.17,0
asenkron,5993.0,1.91,2.96,67.4,0.94,0
senkron,10595.0,3.45,2.64,65.3,1.56,0
asenkron,14077.0,3.23,2.85,68.5,2.07,0
senkron,1688.0,5.85,2.06,76.2,4.16,1
dc,5997.0,1.02,1.99,49.4,1.85,0
asenkron,6204.0,1.44,3.3,58.3,0.86,0
asenkron,9948.0,3.03,2.25,54.1,0.58,0
asenkron,7283.0,3.01,1.68,64.3,4.5,0
asenkron,2177.0,1.65,4.6,59.9,0.48,0
asenkron,12628.0,4.07,3.14,54.6,0.92,0
asenkron,582.0,2.98,3.7,67.4,3.91,0
asenkron,16647.0,3.56,2.37,67.3,3.21,0
asenkron,10855.0,2.85,2.82,70.8,2.56,0
senkron,10880.0,2.23,2.09,62.5,0.77,0
dc,17684.0,1.58,3.01,55.8,1.91,0
asenkron,3561.0,1.46,1.75,65.3,0.45,0
asenkron,1810.0,2.1,3.2,65.2,0.71,0
asenkron,13053.0,5.52,2.43,65.8,4.16,1
dc,10267.0,2.45,3.13,47.5,1.39,0
dc,17280.0,2.99,2.72,51.6,1.65,0
senkron,5978.0,2.62,3.7,51.4,0.57,0
asenkron,7566.0,3.12,2.29,58.8,0.2,0
senkron,9335.0,3.28,2.68,53.7,2.61,0
dc,7652.0,2.36,4.46,71.7,3.0,0
dc,2631.0,4.19,2.85,52.3,2.48,1
senkron,8324.0,2.53,4.9,60.5,0.83,0
asenkron,8389.0,1.53,2.69,57.0,1.14,0
asenkron,14519.0,4.61,2.06,53.9,4.78,0
senkron,12919.0,6.34,3.98,69.5,4.47,1
asenkron,18883.0,5.05,2.56,57.6,3.29,1
asenkron,12396.0,1.6,3.12,59.8,0.81,0
asenkron,12150.0,3.09,1.6,65.8,4.48,0
dc,8060.0,2.08,2.85,77.3,2.09,0
asenkron,3047.0,2.7,3.56,75.2,1.62,0
asenkron,17010.0,2.82,2.37,55.8,0.95,0
senkron,17254.0,3.53,3.34,75.0,2.47,0
dc,9555.0,2.5,3.3,67.6,1.02,0
senkron,12259.0,1.85,3.8,69.0,0.12,0
dc,2097.0,4.61,3.97,54.7,3.07,1
senkron,2486.0,3.25,3.98,61.1,1.08,0
asenkron,499.0,2.61,2.82,69.9,1.04,0
dc,11847.0,2.84,1.84,71.5,1.71,0
asenkron,12102.0,4.61,5.49,66.3,2.43,1
asenkron,10556.0,3.11,3.11,62.4,2.9,0
asenkron,16329.0,3.72,4.11,71.9,0.19,0
asenkron,8225.0,3.31,4.98,61.6,2.29,1
asenkron,17324.0,2.87,2.17,44.5,2.04,0
asenkron,10331.0,2.45,2.41,61.0,1.43,0
asenkron,9256.0,5.09,4.93,74.5,5.49,1
dc,316.0,3.5,4.59,67.3,2.15,0
senkron,15452.0,5.17,2.38,82.2,0.95,0
asenkron,11970.0,3.83,2.57,65.3,5.37,0
asenkron,6316.0,0.75,3.43,61.0,4.7,0
asenkron,11143.0,2.52,2.49,49.9,1.46,0
senkron,5167.0,4.29,6.0,71.3,3.16,1
asenkron,16524.0,5.47,2.98,59.6,0.82,0
dc,11315.0,1.88,2.39,57.6,2.32,0
senkron,12898.0,4.23,4.69,75.7,6.93,1
senkron,999.0,2.77,1.85,55.2,1.02,0
asenkron,17853.0,1.08,2.92,64.2,1.92,0
asenkron,9944.0,2.39,2.54,67.5,1.0,0
asenkron,5198.0,3.38,3.32,56.6,4.38,0
asenkron,9091.0,2.89,3.53,65.8,2.42,0
dc,5101.0,1.43,3.34,55.0,2.7,0
asenkron,12127.0,4.48,3.42,68.7,1.35,1
asenkron,16538.0,6.75,3.93,69.4,2.16,1
asenkron,11595.0,3.37,4.2,76.4,4.47,1
senkron,11404.0,2.9,5.55,71.1,3.98,1
asenkron,15189.0,5.47,2.71,67.8,2.75,0
asenkron,4313.0,2.98,2.8,67.6,3.4,1
senkron,9578.0,3.6,4.99,61.3,1.32,0
senkron,824.0,0.57,3.31,72.0,2.62,0
asenkron,3723.0,1.47,3.05,51.2,2.56,0
asenkron,7019.0,2.26,2.49,64.0,1.88,0
senkron,17162.0,5.14,3.63,67.4,3.27,1
asenkron,10250.0,3.67,1.5,74.2,1.91,1
asenkron,5371.0,2.4,3.11,64.1,2.84,0
asenkron,317.0,1.84,2.15,68.2,2.63,0
asenkron,6799.0,3.57,3.17,61.5,0.17,0
asenkron,16053.0,5.05,3.87,63.6,4.35,1
asenkron,14994.0,2.48,3.24,67.7,3.24,0
dc,6640.0,2.8,5.5,87.8,1.49,1
asenkron,252.0,3.74,4.14,55.0,1.31,0
asenkron,4098.0,1.12,2.1,71.8,2.28,0
senkron,17755.0,4.62,5.05,70.6,1.47,0
asenkron,2117.0,0.84,3.36,73.3,1.74,0
asenkron,11694.0,2.78,3.32,61.1,1.32,0
senkron,170.0,1.56,2.4,59.1,0.73,1
senkron,9740.0,2.74,3.15,62.5,1.88,0
asenkron,16865.0,3.0,4.22,55.6,0.97,0
senkron,10240.0,1.63,3.14,71.5,3.04,0
dc,8649.0,2.97,2.18,64.2,0.14,0
asenkron,11546.0,3.0,2.81,75.0,1.95,1
senkron,1973.0,2.08,4.56,60.6,0.49,0
dc,14084.0,2.96,2.71,68.2,1.04,0
asenkron,12766.0,2.93,1.5,61.7,1.4,0
senkron,10759.0,2.79,1.72,75.1,1.52,0
dc,8461.0,2.67,2.25,56.6,1.64,0
asenkron,10212.0,2.8,4.14,59.5,4.85,0
senkron,3600.0,2.06,2.72,64.1,1.7,0
dc,2683.0,1.47,3.34,77.5,2.13,0
asenkron,10959.0,3.76,1.82,63.2,0.66,0
asenkron,4842.0,1.54,2.84,61.9,1.64,0
asenkron,15486.0,3.19,3.66,53.3,0.75,0
asenkron,19014.0,4.61,2.73,62.7,3.49,0
asenkron,15500.0,2.68,3.93,60.3,1.65,0
asenkron,12727.0,2.73,2.7,68.0,0.9,0
asenkron,12346.0,2.88,2.69,50.0,1.04,0
asenkron,5231.0,3.11,2.84,56.0,1.91,0
asenkron,10666.0,3.12,4.49,79.3,5.91,0
dc,19259.0,5.92,2.04,52.6,0.61,0
asenkron,13565.0,1.31,2.96,65.4,1.26,0
asenkron,387.0,1.88,3.64,63.2,1.69,0
dc,13828.0,2.9,2.97,70.9,2.97,0
senkron,3120.0,3.08,3.56,68.1,0.87,0
dc,1805.0,3.03,3.42,55.5,0.24,0
asenkron,13492.0,3.03,3.79,68.6,0.2,0
asenkron,5771.0,3.89,4.8,62.8,1.23,0
asenkron,11028.0,2.18,2.55,62.6,1.07,0
senkron,6325.0,2.84,2.81,58.3,1.14,0
asenkron,10369.0,3.31,1.89,77.2,0.28,0
asenkron,14313.0,1.44,3.85,76.0,0.17,0
asenkron,6584.0,2.82,1.64,57.2,0.84,0
senkron,12725.0,2.32,1.5,65.3,1.67,0
asenkron,9717.0,3.77,1.79,59.6,1.52,0
asenkron,11930.0,3.81,3.71,68.3,2.67,0
dc,1307.0,0.21,2.53,67.5,0.19,0
asenkron,17727.0,3.19,4.59,70.3,1.13,0
asenkron,19593.0,4.25,5.95,68.8,1.71,1
senkron,3892.0,1.82,2.27,69.4,2.32,0
asenkron,1093.0,2.32,4.32,58.8,2.95,0
asenkron,7371.0,4.97,5.01,74.1,2.81,1
asenkron,12790.0,2.55,2.11,53.1,6.19,0
dc,2143.0,1.16,2.84,66.4,2.02,0
asenkron,2218.0,1.25,2.05,72.2,3.18,0
asenkron,16588.0,5.45,2.96,77.1,1.4,1
asenkron,1894.0,3.86,3.32,78.5,0.74,0
asenkron,19834.0,3.01,2.73,66.0,2.92,0
asenkron,9103.0,2.82,2.33,70.2,6.32,1
senkron,13618.0,2.31,1.6,51.3,2.32,0
senkron,2043.0,7.06,5.03,66.3,7.42,1
asenkron,16421.0,4.15,2.86,47.6,1.77,0
dc,2723.0,2.17,2.53,60.0,3.26,0
asenkron,8758.0,3.53,2.4,69.3,0.72,0
dc,11762.0,3.62,4.37,72.4,2.51,0
dc,1311.0,2.77,2.34,70.8,0.14,0
asenkron,18795.0,2.64,1.8,77.4,0.11,0
asenkron,17535.0,3.96,3.15,56.1,2.79,0
asenkron,735.0,4.03,6.16,76.4,4.51,1
senkron,6650.0,7.25,5.04,80.5,1.84,1
senkron,882.0,0.23,3.8,61.2,4.27,1
asenkron,8688.0,0.99,3.65,67.3,2.05,0
senkron,2883.0,2.72,3.47,49.5,2.09,0
dc,14446.0,4.46,3.76,80.2,2.62,1
asenkron,4986.0,1.9,4.37,63.8,7.09,1
asenkron,6941.0,2.61,2.62,64.3,0.73,0
dc,13910.0,4.71,4.17,58.5,2.8,0
asenkron,12871.0,3.65,2.1,69.2,3.1,0
dc,19858.0,2.18,4.34,68.4,1.31,0
asenkron,926.0,2.96,3.72,54.8,5.72,0
asenkron,7743.0,2.99,1.5,98.7,11.97,1
senkron,12182.0,6.11,6.49,54.9,0.25,1
asenkron,8562.0,3.03,2.46,66.6,2.07,0
senkron,3482.0,1.97,3.53,74.4,1.45,0
asenkron,17240.0,3.53,2.57,59.2,2.56,0
asenkron,7063.0,3.38,3.05,61.0,1.4,0
asenkron,17063.0,2.74,4.8,59.5,1.71,0
asenkron,12188.0,3.74,3.93,69.6,0.59,0
dc,6126.0,2.42,3.17,71.3,1.12,0
dc,3541.0,2.85,3.06,67.5,1.29,0
asenkron,12993.0,3.37,6.23,52.7,6.42,1
asenkron,17113.0,3.73,3.66,68.5,4.39,0
senkron,13076.0,2.2,2.25,57.2,0.95,0
asenkron,18349.0,2.37,5.3,64.5,1.58,0
dc,1394.0,3.21,2.76,72.4,5.05,0
asenkron,6479.0,3.15,3.49,52.5,2.25,0
asenkron,15453.0,3.64,3.48,52.3,3.46,0
asenkron,5741.0,2.19,4.78,69.4,0.83,1
asenkron,2750.0,3.63,3.46,64.5,1.31,0
senkron,15980.0,2.56,3.96,80.5,3.77,1
asenkron,13947.0,2.46,3.06,75.2,3.59,0
asenkron,4488.0,3.5,4.03,65.8,0.8,0
asenkron,15597.0,2.82,3.66,63.5,5.35,0
asenkron,19872.0,3.15,3.61,49.3,3.25,0
dc,2796.0,2.23,3.28,73.4,1.26,0
asenkron,14352.0,1.71,1.5,52.9,0.99,0
asenkron,2928.0,2.72,3.55,58.5,3.17,0
asenkron,15014.0,3.91,4.68,55.4,2.33,0
asenkron,4844.0,2.38,2.34,56.4,0.8,0
asenkron,7465.0,3.68,3.13,65.8,0.83,0
asenkron,4947.0,2.07,2.41,52.9,2.55,0
senkron,431.0,2.29,2.86,69.5,0.35,0
asenkron,11330.0,2.66,2.77,71.8,2.77,0
asenkron,4925.0,2.4,4.09,63.5,0.73,0
asenkron,17285.0,2.98,3.23,65.8,0.84,0
asenkron,13803.0,1.75,2.09,71.4,0.98,0
asenkron,5687.0,2.2,2.57,64.8,1.63,0
asenkron,3082.0,2.51,5.82,59.4,1.24,0
senkron,17998.0,2.21,3.51,62.0,1.23,0
asenkron,17069.0,2.46,2.4,63.5,1.93,0
asenkron,12818.0,2.78,2.13,66.3,1.6,0
asenkron,9263.0,2.84,3.66,64.8,0.65,0
asenkron,8974.0,5.02,3.28,63.0,1.87,0
asenkron,17273.0,2.29,3.76,60.8,1.26,0
asenkron,19931.0,4.02,2.15,68.7,0.69,0
asenkron,12141.0,4.91,1.5,70.9,1.1,1
asenkron,6719.0,3.38,4.16,61.7,1.08,0
asenkron,17648.0,3.4,4.4,72.6,1.28,1
asenkron,1892.0,2.05,2.72,60.2,0.28,0
asenkron,11808.0,5.17,6.21,74.4,4.54,1
asenkron,19448.0,2.62,4.86,75.9,0.59,0
senkron,9355.0,2.54,2.18,59.4,0.61,1
asenkron,3009.0,0.64,3.8,51.2,2.77,0
asenkron,12335.0,2.67,3.25,47.0,0.7,0
senkron,7991.0,2.62,4.19,75.4,0.88,0
asenkron,7316.0,2.32,2.58,64.6,6.42,0
asenkron,3606.0,4.16,2.61,52.4,1.09,0
senkron,8252.0,2.12,4.18,61.2,0.44,0
asenkron,3028.0,2.36,2.58,56.8,1.94,0
senkron,5562.0,2.24,4.95,65.1,0.26,0
asenkron,2835.0,1.1,2.91,54.3,0.22,0
senkron,431.0,2.94,4.01,58.1,0.99,0
asenkron,11692.0,1.98,4.06,73.6,1.27,0
asenkron,9734.0,2.19,3.2,67.7,1.42,0
senkron,9917.0,2.56,4.1,78.8,0.14,0
asenkron,7678.0,3.04,1.98,73.3,1.4,0
asenkron,587.0,3.71,2.55,57.1,0.61,0
asenkron,14127.0,4.69,1.87,64.8,4.67,0
asenkron,13821.0,3.73,3.25,43.8,0.55,0
dc,18946.0,4.15,2.45,68.5,0.45,0
asenkron,11876.0,1.79,2.5,58.2,1.22,0
dc,18055.0,2.56,2.31,70.9,2.42,0
dc,13825.0,2.92,3.37,50.4,1.18,0
senkron,5680.0,3.22,2.24,49.9,3.66,0
asenkron,19155.0,3.74,3.8,69.4,4.12,0
asenkron,11459.0,3.36,3.16,59.6,1.22,0
asenkron,4664.0,4.02,2.34,68.5,1.23,0
dc,344.0,2.36,2.87,62.9,1.51,0
asenkron,13389.0,2.9,3.45,60.0,2.06,0
dc,19361.0,4.88,2.9,66.3,1.34,0
asenkron,10629.0,4.04,3.46,55.9,3.38,0
asenkron,9070.0,2.61,3.62,70.2,1.22,0
asenkron,5878.0,1.79,5.52,56.1,3.34,0
asenkron,18131.0,3.38,4.14,57.2,1.69,0
asenkron,10602.0,3.0,3.3,69.1,2.22,1
asenkron,364.0,3.27,3.04,63.1,2.75,0
senkron,7339.0,3.01,3.51,71.1,0.39,0
asenkron,14680.0,5.27,2.33,66.3,0.8,0
dc,11411.0,3.14,2.78,60.4,1.52,0
asenkron,16060.0,3.9,2.78,63.7,2.21,0
asenkron,9274.0,3.54,2.96,65.7,1.9,0
senkron,2677.0,2.52,2.47,47.2,1.07,0
asenkron,13095.0,2.74,2.58,52.3,3.17,0
asenkron,12924.0,2.33,2.05,58.7,0.53,0
dc,7781.0,2.11,4.81,72.5,0.14,0
asenkron,828.0,0.62,5.07,60.1,6.9,1
asenkron,6594.0,2.75,3.96,63.8,2.11,0
asenkron,5131.0,2.89,2.46,59.4,1.37,0
asenkron,11828.0,3.29,2.24,76.6,4.02,0
asenkron,10752.0,1.77,2.59,71.1,1.25,0
asenkron,16931.0,4.14,2.08,60.9,0.02,0
asenkron,15633.0,4.06,3.13,54.1,1.64,0
dc,12527.0,2.86,2.91,67.9,1.26,0
dc,18480.0,4.71,2.05,57.4,1.91,0
asenkron,6666.0,3.28,3.6,49.5,0.05,0
asenkron,10063.0,1.74,3.33,57.0,0.78,0
asenkron,11053.0,4.76,4.16,66.7,0.88,0
asenkron,8361.0,1.67,2.16,61.5,0.84,0
asenkron,19546.0,3.77,3.03,76.0,1.51,0
senkron,6307.0,2.47,4.26,72.8,0.41,0
asenkron,7955.0,2.79,3.07,67.5,0.32,0
dc,9636.0,3.3,5.42,85.4,3.45,1
