gun,saat,isinim_Wm2,sicaklik_C,ruzgar_ms,bulutluluk,guc_kW
7,21,29.2,22.6,6.3,0.08,0.131
7,22,0.0,20.3,4.6,0.16,0.209
7,23,0.0,22.0,3.6,0.17,0.0
8,0,14.0,7.4,1.4,0.17,0.0
8,1,8.1,5.2,0.1,0.11,0.231
8,2,4.1,9.8,1.7,0.06,0.0
8,3,2.2,9.7,1.5,0.08,0.0
8,4,0.0,19.2,2.3,0.19,0.0
8,5,0.0,20.1,4.5,0.21,0.204
8,6,0.0,23.0,0.2,0.07,0.214
8,7,244.8,17.6,3.1,0.06,2.569
8,8,421.8,19.2,1.6,0.2,3.255
8,9,612.1,22.7,2.2,0.16,4.97
8,10,728.4,26.2,0.4,0.15,6.028
8,11,884.6,28.2,2.2,0.0,6.748
8,12,910.3,30.0,11.3,0.07,7.512
8,13,877.5,31.5,1.5,0.06,6.635
8,14,712.8,30.1,1.9,0.11,5.905
8,15,693.3,33.1,2.6,0.0,5.47
8,16,408.1,33.4,2.5,0.2,3.203
8,17,223.4,32.0,6.1,0.12,1.889
8,18,3.7,29.4,4.5,0.13,0.357
8,19,2.6,27.5,2.8,0.0,0.15
8,20,4.4,25.6,1.3,0.1,0.353
8,21,2.6,22.9,1.8,0.2,0.0
8,22,1.2,17.7,1.0,0.0,0.001
8,23,9.5,17.3,6.7,0.12,0.209
9,0,6.1,10.6,4.0,0.25,0.235
9,1,37.2,8.0,1.1,0.14,0.367
9,2,3.1,8.0,5.3,0.26,0.062
9,3,0.0,21.4,6.5,0.17,0.0
9,4,0.0,20.6,2.6,0.29,0.0
9,5,6.8,11.9,4.5,0.24,0.0
9,6,2.9,15.5,1.8,0.21,0.181
9,7,185.3,20.4,2.7,0.35,1.735
9,8,380.2,23.2,3.3,0.26,3.321
9,9,519.6,23.4,2.2,0.3,4.511
9,10,774.1,25.4,1.8,0.1,6.433
9,11,841.3,29.8,1.8,0.14,6.607
9,12,770.3,30.6,4.1,0.26,6.148
9,13,733.7,32.1,0.6,0.27,5.857
9,14,689.4,32.1,7.0,0.19,5.37
9,15,526.2,30.5,3.2,0.26,4.281
9,16,437.8,30.0,0.9,0.11,3.554
9,17,204.3,31.2,3.7,0.21,1.882
9,18,0.0,18.8,1.1,0.1,0.0
9,19,0.0,21.7,5.2,0.22,0.003
9,20,0.0,21.9,0.3,0.16,0.049
9,21,0.0,22.7,0.9,0.14,0.0
9,22,0.0,20.7,1.4,0.2,0.286
9,23,0.0,23.4,6.0,0.34,0.0
10,0,9.6,11.0,5.2,0.12,0.0
10,1,0.0,21.4,2.7,0.16,0.335
10,2,0.0,21.9,2.0,0.29,0.423
10,3,4.7,9.1,1.8,0.17,0.089
10,4,0.0,16.0,2.8,0.35,0.147
10,5,14.4,14.9,5.9,0.22,0.057
10,6,5.3,16.3,6.3,0.21,0.063
10,7,206.5,20.7,2.9,0.23,1.823
10,8,350.0,21.5,3.5,0.34,3.247
10,9,552.6,23.2,11.0,0.26,4.925
10,10,660.3,25.3,1.3,0.25,5.37
10,11,740.3,27.4,1.5,0.22,6.126
10,12,907.1,30.4,0.7,0.08,6.814
10,13,818.7,28.9,2.5,0.13,6.852
10,14,624.1,30.8,5.9,0.32,4.948
10,15,545.1,34.0,1.6,0.27,4.269
10,16,403.1,29.4,3.4,0.24,3.535
10,17,155.2,29.2,3.8,0.26,1.381
10,18,0.0,19.9,7.2,0.16,0.127
10,19,18.5,27.6,2.2,0.23,0.131
10,20,0.0,20.9,0.5,0.13,0.32
10,21,7.1,24.7,7.5,0.24,0.0
10,22,0.0,21.2,1.5,0.15,0.163
10,23,0.0,21.7,1.8,0.19,0.404
11,0,0.0,20.2,1.5,0.1,0.167
11,1,0.0,21.1,4.0,0.04,0.048
11,2,6.1,8.3,1.7,0.12,0.176
11,3,17.6,10.1,3.2,0.1,0.164
11,4,0.0,21.9,2.3,0.09,0.141
11,5,0.0,21.8,2.1,0.17,0.0
11,6,18.0,13.0,1.9,0.0,0.254
11,7,251.4,16.7,2.6,0.0,2.292
11,8,428.9,24.0,0.9,0.12,3.69
11,9,622.0,20.6,2.9,0.14,5.195
11,10,657.3,26.3,5.4,0.23,5.439
11,11,826.2,26.8,0.3,0.13,6.39
11,12,856.8,30.1,2.0,0.13,6.71
11,13,912.8,31.0,0.5,0.0,7.076
11,14,756.6,32.8,1.5,0.13,6.039
11,15,586.0,31.4,2.3,0.12,4.776
11,16,475.6,34.3,7.0,0.0,3.889
11,17,234.0,35.1,3.4,0.0,1.955
11,18,18.0,26.7,3.3,0.06,0.092
11,19,15.7,27.2,1.2,0.09,0.162
11,20,0.0,18.7,2.9,0.0,0.155
11,21,0.0,21.2,1.3,0.07,0.0
11,22,0.0,23.1,2.6,0.08,0.055
11,23,0.0,23.1,6.0,0.05,0.0
12,0,0.0,23.3,5.3,0.31,0.0
12,1,6.4,9.6,0.6,0.33,0.24
12,2,0.0,20.5,2.3,0.21,0.0
12,3,27.2,12.2,3.4,0.33,0.228
12,4,0.9,11.0,3.3,0.27,0.0
12,5,0.0,20.1,1.4,0.22,0.0
12,6,0.0,21.4,4.7,0.31,0.0
12,7,162.1,16.8,6.1,0.41,1.487
12,8,429.1,21.0,0.6,0.18,3.815
12,9,599.4,22.6,5.2,0.16,4.987
12,10,745.6,26.7,2.7,0.16,5.91
12,11,627.4,30.2,1.8,0.45,5.172
12,12,764.6,29.8,2.3,0.27,6.361
12,13,709.4,32.8,3.1,0.29,5.85
12,14,679.0,34.4,2.6,0.23,5.582
12,15,563.5,32.1,1.4,0.22,4.58
12,16,403.7,32.9,7.4,0.13,3.545
12,17,194.4,31.6,2.4,0.31,1.794
12,18,0.0,24.0,4.5,0.31,0.0
12,19,0.0,20.5,4.5,0.13,0.072
12,20,0.0,21.5,1.4,0.21,0.0
12,21,8.6,21.9,3.2,0.23,0.334
12,22,39.5,19.9,4.1,0.29,0.374
12,23,0.0,22.2,0.4,0.31,0.0
13,0,0.0,21.1,4.8,0.42,0.081
13,1,30.7,10.7,0.5,0.44,0.329
13,2,0.0,21.7,5.4,0.42,0.14
13,3,0.0,25.5,1.1,0.44,0.124
13,4,0.0,21.2,3.2,0.24,0.0
13,5,4.6,15.5,1.4,0.29,0.0
13,6,0.0,20.5,2.6,0.43,0.0
13,7,184.5,18.2,0.6,0.36,1.761
13,8,364.3,19.3,0.7,0.34,3.446
13,9,621.3,28.2,1.6,0.18,5.045
13,10,706.9,23.6,4.5,0.19,5.988
13,11,638.4,29.2,3.7,0.39,5.412
13,12,694.1,30.3,2.3,0.36,5.727
13,13,664.3,33.6,3.3,0.31,5.237
13,14,641.8,32.5,3.0,0.3,5.202
13,15,596.2,36.4,1.3,0.2,4.857
13,16,344.7,35.0,2.7,0.36,2.863
13,17,168.4,33.2,2.5,0.42,1.443
13,18,0.0,22.3,1.3,0.47,0.0
13,19,2.1,30.7,0.6,0.34,0.0
13,20,0.0,22.3,4.2,0.32,0.0
13,21,23.3,26.7,1.6,0.25,0.068
13,22,0.0,23.0,4.3,0.43,0.0
13,23,0.0,21.6,3.3,0.47,0.0
14,0,25.1,10.9,1.6,0.08,0.492
14,1,0.5,10.2,2.0,0.15,0.157
14,2,0.0,23.7,1.6,0.14,0.0
14,3,25.1,10.7,2.6,0.08,0.327
14,4,3.0,12.7,1.1,0.0,0.0
14,5,14.4,12.5,0.5,0.1,0.16
14,6,0.0,22.9,0.7,0.18,0.208
14,7,216.9,19.6,3.5,0.01,1.703
14,8,455.6,20.9,0.8,0.06,3.77
14,9,693.7,27.2,4.3,0.0,5.634
14,10,672.7,27.2,0.7,0.23,5.419
14,11,806.6,27.7,4.0,0.17,6.614
14,12,866.2,33.0,11.5,0.13,7.109
14,13,847.6,32.5,0.3,0.11,6.44
14,14,775.6,29.0,1.0,0.08,6.062
14,15,621.6,34.5,7.5,0.12,5.191
14,16,441.3,33.6,0.5,0.1,3.776
14,17,218.0,32.9,1.4,0.11,2.02
14,18,16.4,31.0,1.9,0.13,0.205
14,19,12.6,28.2,6.9,0.14,0.045
14,20,6.2,27.3,5.7,0.25,0.036
14,21,11.4,22.0,2.1,0.01,0.0
14,22,0.0,21.7,5.5,0.15,0.0
14,23,4.6,20.6,0.7,0.08,0.0
15,0,1.2,12.0,1.8,0.42,0.015
15,1,0.0,21.4,1.6,0.33,0.03
15,2,31.8,13.4,1.4,0.56,0.248
15,3,5.9,11.8,3.9,0.44,0.068
15,4,0.0,21.5,5.3,0.46,0.071
15,5,0.0,22.4,1.4,0.55,0.049
15,6,4.6,15.9,0.6,0.43,0.0
15,7,150.8,20.8,5.4,0.52,1.353
15,8,269.9,20.7,1.1,0.51,2.458
15,9,374.4,23.8,3.3,0.58,3.339
15,10,462.2,25.6,2.9,0.6,4.106
15,11,620.6,28.4,4.4,0.45,5.619
15,12,544.3,31.1,8.6,0.59,4.697
15,13,553.0,35.8,1.2,0.51,4.339
15,14,489.8,34.2,2.4,0.53,4.13
15,15,427.0,35.9,1.9,0.5,3.467
15,16,260.8,33.9,4.7,0.58,2.104
15,17,172.7,34.4,0.6,0.42,1.274
15,18,0.0,20.6,2.8,0.54,0.0
15,19,9.6,27.9,2.4,0.61,0.0
15,20,1.7,30.2,2.7,0.49,0.292
15,21,9.6,25.4,0.4,0.68,0.059
15,22,1.4,19.8,3.0,0.46,0.319
15,23,0.0,23.1,2.2,0.53,0.0
16,0,0.0,22.1,1.4,0.07,0.0
16,1,1.6,10.0,4.9,0.06,0.0
16,2,0.0,23.6,1.7,0.02,0.0
16,3,0.0,20.5,1.9,0.06,0.068
16,4,0.0,24.2,4.6,0.1,0.111
16,5,13.0,15.3,1.7,0.04,0.09
16,6,19.7,16.4,5.6,0.18,0.181
16,7,216.2,17.7,2.6,0.23,1.974
16,8,496.6,25.0,1.5,0.0,4.242
16,9,579.5,24.5,1.8,0.17,4.797
16,10,746.0,25.5,3.4,0.12,6.025
16,11,817.1,29.6,5.5,0.13,6.689
16,12,722.7,32.4,6.5,0.3,5.687
16,13,802.9,34.1,2.8,0.2,6.432
16,14,747.7,36.3,3.1,0.13,5.816
16,15,621.3,35.2,1.8,0.12,4.989
16,16,515.6,34.0,4.6,0.0,4.192
16,17,244.9,36.5,4.7,0.17,2.274
16,18,0.0,25.4,0.5,0.05,0.027
16,19,16.1,28.1,5.2,0.12,0.431
16,20,0.0,23.8,0.7,0.12,0.0
16,21,16.3,24.1,1.8,0.19,0.077
16,22,0.0,24.6,5.1,0.27,0.181
16,23,0.0,20.9,1.3,0.19,0.313
17,0,0.0,23.0,3.6,0.34,0.0
17,1,31.6,13.0,1.3,0.22,0.172
17,2,0.0,23.1,0.9,0.28,0.125
17,3,18.1,13.4,3.6,0.3,0.156
17,4,17.6,12.1,1.9,0.12,0.318
17,5,3.2,13.2,2.2,0.4,0.187
17,6,14.0,15.6,3.4,0.18,0.107
17,7,260.9,20.8,0.7,0.14,2.271
17,8,348.4,21.6,2.2,0.37,3.14
17,9,463.0,27.5,2.2,0.41,4.091
17,10,731.6,27.3,4.6,0.18,6.137
17,11,799.9,32.1,0.9,0.19,6.161
17,12,586.1,32.5,2.7,0.49,4.817
17,13,750.9,31.8,0.5,0.25,6.069
17,14,778.7,34.4,3.3,0.08,6.275
17,15,559.9,35.3,0.6,0.19,4.492
17,16,319.6,35.0,4.7,0.4,2.697
17,17,183.4,33.2,4.6,0.29,1.354
17,18,0.0,24.3,8.8,0.3,0.0
17,19,9.1,31.5,4.5,0.34,0.357
17,20,5.9,29.2,2.6,0.29,0.031
17,21,0.0,21.4,4.7,0.21,0.0
17,22,0.0,19.4,0.9,0.11,0.055
17,23,3.6,20.8,3.2,0.28,0.0
18,0,0.0,21.5,2.9,0.14,0.0
18,1,0.0,22.0,3.3,0.23,0.0
18,2,5.6,10.7,1.6,0.37,0.033
18,3,0.0,23.3,4.2,0.28,0.084
18,4,0.0,20.1,3.3,0.24,0.0
18,5,0.0,22.6,2.3,0.24,0.112
18,6,12.4,19.6,6.2,0.29,0.019
18,7,179.3,17.9,6.2,0.31,1.815
18,8,408.8,22.3,3.8,0.13,3.662
18,9,520.2,27.6,3.5,0.25,4.206
18,10,570.6,29.3,0.6,0.37,4.685
18,11,736.7,31.2,1.5,0.29,5.983
18,12,816.2,32.4,2.2,0.17,6.697
18,13,787.3,31.5,0.4,0.18,6.017
18,14,775.9,34.7,1.3,0.07,5.989
18,15,564.4,33.4,1.3,0.17,4.602
18,16,358.6,34.7,1.0,0.36,2.502
18,17,166.4,32.5,4.0,0.23,1.389
18,18,13.9,30.4,1.3,0.16,0.114
18,19,0.0,22.8,5.3,0.19,0.014
18,20,0.9,29.6,1.3,0.22,0.247
18,21,4.7,24.7,0.7,0.22,0.23
18,22,13.0,23.1,0.8,0.2,0.196
18,23,0.0,23.9,1.9,0.17,0.163
19,0,9.5,12.1,0.4,0.6,0.024
19,1,0.0,21.1,1.6,0.68,0.048
19,2,0.0,22.1,0.4,0.51,0.082
19,3,0.0,23.5,0.9,0.51,0.0
19,4,17.1,13.6,1.3,0.65,0.334
19,5,7.3,18.2,6.5,0.44,0.043
19,6,19.5,18.7,5.5,0.5,0.0
19,7,163.7,19.0,4.1,0.52,1.669
19,8,243.4,24.0,1.9,0.57,2.022
19,9,403.1,27.3,1.4,0.53,3.214
19,10,541.2,29.2,3.0,0.48,4.528
19,11,506.8,31.2,2.7,0.58,4.193
19,12,598.6,30.2,0.4,0.46,5.069
19,13,598.5,33.7,1.2,0.41,4.68
19,14,612.4,35.6,2.3,0.39,5.122
19,15,349.2,34.4,2.0,0.61,3.062
19,16,330.3,34.2,6.7,0.41,2.865
19,17,121.0,34.5,3.7,0.59,1.119
19,18,6.4,31.4,4.5,0.61,0.201
19,19,25.2,29.1,6.7,0.62,0.108
19,20,0.0,22.7,1.4,0.54,0.11
19,21,0.0,22.8,2.9,0.51,0.085
19,22,0.0,24.2,0.8,0.56,0.0
19,23,0.0,22.7,5.4,0.5,0.0
20,0,0.0,21.4,3.9,0.43,0.007
20,1,0.3,11.9,3.4,0.63,0.03
20,2,18.8,10.2,0.7,0.46,0.044
20,3,19.5,13.4,1.7,0.68,0.372
20,4,0.0,22.3,1.9,0.57,0.044
20,5,0.0,24.0,5.3,0.5,0.147
20,6,10.1,18.4,3.8,0.57,0.083
20,7,129.6,20.2,2.9,0.63,1.143
20,8,324.7,21.2,5.0,0.42,3.04
20,9,423.8,25.2,1.7,0.46,3.642
20,10,544.1,30.5,2.8,0.45,4.722
20,11,572.9,30.9,2.6,0.54,4.75
20,12,571.1,34.3,2.1,0.56,4.675
20,13,569.8,34.1,1.4,0.53,4.52
20,14,541.0,34.8,6.3,0.47,4.606
20,15,419.2,33.7,4.1,0.49,3.765
20,16,251.9,35.4,4.8,0.63,2.1
20,17,133.7,32.7,0.6,0.62,1.662
20,18,6.0,31.3,2.9,0.54,0.076
20,19,0.0,24.7,5.2,0.43,0.0
20,20,0.0,21.6,0.9,0.58,0.096
20,21,17.2,29.3,4.8,0.55,0.106
20,22,0.0,23.1,0.6,0.55,0.06
20,23,12.9,19.6,2.5,0.67,0.275
21,0,0.0,25.3,0.9,0.55,0.067
21,1,10.4,9.8,2.8,0.41,0.117
21,2,7.9,11.8,1.0,0.41,0.0
21,3,11.4,12.5,2.1,0.59,0.202
21,4,10.6,15.3,2.0,0.5,0.077
21,5,0.0,25.9,3.2,0.55,0.0
21,6,0.0,23.8,4.7,0.48,0.221
21,7,170.0,18.7,1.0,0.41,1.827
21,8,318.8,21.3,1.5,0.51,2.85
21,9,350.0,25.2,0.5,0.61,3.165
21,10,490.3,29.7,2.7,0.52,4.339
21,11,678.2,31.0,3.7,0.4,5.637
21,12,595.6,33.1,2.3,0.46,4.883
21,13,599.5,33.6,1.7,0.45,4.869
21,14,505.7,37.0,2.4,0.5,4.288
21,15,373.3,33.6,1.4,0.57,2.953
21,16,234.2,37.9,1.0,0.65,1.819
21,17,168.6,35.9,2.0,0.51,1.52
21,18,3.2,33.7,3.9,0.46,0.0
21,19,2.8,30.7,1.1,0.5,0.0
21,20,0.0,22.8,4.4,0.49,0.02
21,21,12.2,26.0,0.8,0.46,0.105
21,22,2.6,22.5,4.7,0.49,0.0
21,23,2.4,20.0,2.1,0.49,0.129
22,0,12.7,10.5,2.1,0.02,0.1
22,1,4.8,12.6,2.1,0.16,0.0
22,2,0.0,23.6,5.7,0.08,0.0
22,3,6.4,13.3,1.2,0.03,0.0
22,4,0.0,22.3,1.4,0.15,0.021
22,5,0.0,21.6,1.2,0.07,0.0
22,6,0.0,22.0,2.2,0.25,0.112
22,7,232.8,21.1,3.0,0.15,2.028
22,8,422.6,21.7,0.7,0.12,3.835
22,9,648.1,27.0,8.0,0.05,5.536
22,10,790.2,27.2,1.4,0.08,6.439
22,11,821.1,30.2,0.5,0.18,6.413
22,12,903.6,33.2,4.6,0.06,7.101
22,13,801.0,32.4,5.3,0.17,6.284
22,14,824.3,32.0,1.2,0.0,6.426
22,15,587.3,37.1,0.2,0.13,4.795
22,16,404.6,34.8,2.1,0.18,3.444
22,17,263.0,33.2,5.4,0.14,2.183
22,18,0.0,25.8,1.1,0.11,0.285
22,19,27.2,34.1,1.8,0.19,0.403
22,20,11.8,28.6,0.9,0.04,0.221
22,21,27.0,26.5,1.4,0.03,0.356
22,22,20.4,27.3,3.1,0.12,0.363
22,23,3.6,19.8,0.8,0.21,0.019
23,0,0.0,25.3,3.1,0.35,0.082
23,1,22.0,13.0,2.7,0.3,0.326
23,2,10.9,11.0,9.0,0.34,0.0
23,3,7.5,11.3,0.1,0.35,0.0
23,4,13.4,13.0,5.3,0.21,0.174
23,5,0.0,23.7,1.5,0.09,0.0
23,6,2.1,18.8,2.6,0.23,0.061
23,7,210.6,24.8,3.6,0.19,1.678
23,8,358.0,22.0,1.3,0.26,3.222
23,9,545.1,26.5,1.4,0.22,4.797
23,10,671.6,27.6,1.6,0.24,5.524
23,11,645.7,32.3,1.9,0.35,5.423
23,12,733.9,33.6,7.9,0.32,5.929
23,13,716.4,32.4,1.7,0.31,5.652
23,14,547.4,34.6,0.7,0.44,4.337
23,15,537.5,35.6,1.7,0.27,4.023
23,16,347.0,36.3,5.1,0.28,2.895
23,17,172.3,35.2,1.5,0.41,1.483
23,18,11.5,34.0,4.1,0.22,0.155
23,19,7.7,31.1,4.1,0.18,0.042
23,20,14.0,29.7,1.5,0.42,0.109
23,21,0.0,23.7,5.3,0.34,0.0
23,22,30.4,25.0,4.8,0.36,0.0
23,23,6.6,21.8,0.6,0.36,0.0
24,0,12.1,10.7,3.7,0.14,0.162
24,1,16.5,11.6,4.5,0.03,0.0
24,2,0.0,22.5,4.7,0.06,0.121
24,3,0.0,23.5,0.4,0.0,0.275
24,4,11.9,15.2,3.9,0.08,0.39
24,5,0.0,23.8,2.7,0.08,0.0
24,6,0.0,23.5,3.0,0.03,0.0
24,7,238.8,20.1,2.7,0.12,2.338
24,8,350.3,25.9,4.8,0.3,2.962
24,9,656.7,26.4,10.4,0.0,5.495
24,10,721.4,27.5,10.9,0.13,6.281
24,11,803.4,30.5,1.5,0.14,6.196
24,12,869.7,34.5,2.4,0.15,6.605
24,13,923.6,37.6,0.7,0.0,7.076
24,14,736.4,37.3,0.1,0.16,5.656
24,15,581.4,35.2,1.6,0.12,4.631
24,16,417.4,36.7,1.0,0.06,3.52
24,17,220.6,32.0,1.5,0.04,2.026
24,18,15.8,34.3,1.6,0.09,0.089
24,19,17.8,30.9,1.4,0.14,0.186
24,20,0.0,24.1,1.8,0.14,0.123
24,21,0.0,21.9,4.2,0.25,0.29
24,22,9.8,24.3,0.6,0.04,0.103
24,23,3.6,19.1,1.1,0.12,0.0
25,0,6.4,9.7,2.8,0.24,0.059
25,1,9.9,14.0,1.0,0.33,0.187
25,2,0.0,22.0,4.7,0.28,0.079
